timestamp,model,prod,spot,memory_util
69.15840397775126,D,3,17,0.023577369368427765
70.59456284117978,A,14,6,0.02554215014913008
70.59456284117978,B,10,10,0.02554215014913008
70.59456284117978,C,11,9,0.02554215014913008
70.59456284117978,D,3,17,0.02554215014913008
70.64733445278135,A,14,6,0.05933339801055129
70.64733445278135,B,10,10,0.05933339801055129
70.64733445278135,C,11,9,0.05933339801055129
70.64733445278135,D,2,18,0.05933339801055129
71.23188179172716,A,14,6,0.059500911838926654
71.23188179172716,B,10,10,0.059500911838926654
71.23188179172716,C,11,9,0.059500911838926654
71.23188179172716,D,2,18,0.059500911838926654
72.65823914544264,A,14,6,0.00337425221732865
72.65823914544264,B,9,11,0.00337425221732865
72.65823914544264,C,11,9,0.00337425221732865
72.65823914544264,D,2,18,0.00337425221732865
72.81526734963921,A,14,6,0.020729556974850547
72.81526734963921,B,9,11,0.020729556974850547
72.81526734963921,C,10,10,0.020729556974850547
72.81526734963921,D,2,18,0.020729556974850547
74.05883272730635,A,14,6,0.08045689176868376
74.05883272730635,B,9,11,0.08045689176868376
74.05883272730635,C,10,10,0.08045689176868376
74.05883272730635,D,2,18,0.08045689176868376
74.13527503327047,A,14,6,0.13427908482568582
74.13527503327047,B,9,11,0.13427908482568582
74.13527503327047,C,10,10,0.13427908482568582
74.13527503327047,D,2,18,0.13427908482568582
74.35238145200653,A,14,6,0.09168736931121683
74.35238145200653,B,9,11,0.09168736931121683
74.35238145200653,C,9,11,0.09168736931121683
74.35238145200653,D,2,18,0.09168736931121683
74.8941435216303,A,13,7,0.06947519324538891
74.8941435216303,B,9,11,0.06947519324538891
74.8941435216303,C,9,11,0.06947519324538891
74.8941435216303,D,2,18,0.06947519324538891
75.99687074273918,A,13,7,0.13548933747988784
75.99687074273918,B,9,11,0.13548933747988784
75.99687074273918,C,8,12,0.13548933747988784
75.99687074273918,D,2,18,0.13548933747988784
76.40982125477353,A,13,7,0.040981867681072315
76.40982125477353,B,8,12,0.040981867681072315
76.40982125477353,C,8,12,0.040981867681072315
76.40982125477353,D,2,18,0.040981867681072315
76.68362160160764,A,13,7,0.19282516784287293
76.68362160160764,B,8,12,0.19282516784287293
76.68362160160764,C,8,12,0.19282516784287293
76.68362160160764,D,2,18,0.19282516784287293
78.0,A,13,7,0.08124792546383221
78.0,B,7,13,0.08124792546383221
78.0,C,8,12,0.08124792546383221
78.0,D,2,18,0.08124792546383221
78.59633092643458,A,13,7,0.0425150096416655
78.59633092643458,B,7,13,0.0425150096416655
78.59633092643458,C,8,12,0.0425150096416655
78.59633092643458,D,2,18,0.0425150096416655
78.83026520984569,A,13,7,0.12106224376687019
78.83026520984569,B,7,13,0.12106224376687019
78.83026520984569,C,8,12,0.12106224376687019
78.83026520984569,D,2,18,0.12106224376687019
79.01257116510295,A,13,7,0.175939773942637
79.01257116510295,B,7,13,0.175939773942637
79.01257116510295,C,8,12,0.175939773942637
79.01257116510295,D,2,18,0.175939773942637
79.13193842392229,A,13,7,0.13929264976468228
79.13193842392229,B,7,13,0.13929264976468228
79.13193842392229,C,7,13,0.13929264976468228
79.13193842392229,D,2,18,0.13929264976468228
81.0,A,13,7,0.15533557305246815
81.0,B,7,13,0.15533557305246815
81.0,C,7,13,0.15533557305246815
81.0,D,2,18,0.15533557305246815
81.20355064589897,A,13,7,0.15588444258075426
81.20355064589897,B,7,13,0.15588444258075426
81.20355064589897,C,7,13,0.15588444258075426
81.20355064589897,D,2,18,0.15588444258075426
81.58493745049927,A,13,7,0.0776367968396866
81.58493745049927,B,7,13,0.0776367968396866
81.58493745049927,C,6,14,0.0776367968396866
81.58493745049927,D,2,18,0.0776367968396866
81.89969447946875,A,13,7,0.2002804324270176
81.89969447946875,B,7,13,0.2002804324270176
81.89969447946875,C,5,15,0.2002804324270176
81.89969447946875,D,2,18,0.2002804324270176
81.92004569747517,A,13,7,0.21664170813249609
81.92004569747517,B,7,13,0.21664170813249609
81.92004569747517,C,5,15,0.21664170813249609
81.92004569747517,D,2,18,0.21664170813249609
83.0,A,13,7,0.09496317930801389
83.0,B,6,14,0.09496317930801389
83.0,C,5,15,0.09496317930801389
83.0,D,2,18,0.09496317930801389
83.2013075288625,A,13,7,0.2816021641891676
83.2013075288625,B,6,14,0.2816021641891676
83.2013075288625,C,5,15,0.2816021641891676
83.2013075288625,D,2,18,0.2816021641891676
84.0,A,13,7,0.372487849185192
84.0,B,6,14,0.372487849185192
84.0,C,5,15,0.372487849185192
84.0,D,2,18,0.372487849185192
85.86120933408384,A,13,7,0.2816021641891676
85.86120933408384,B,6,14,0.2816021641891676
85.86120933408384,C,5,15,0.2816021641891676
85.86120933408384,D,2,18,0.2816021641891676
85.99212477280649,A,13,7,0.3563697750586919
85.99212477280649,B,6,14,0.3563697750586919
85.99212477280649,C,5,15,0.3563697750586919
85.99212477280649,D,2,18,0.3563697750586919
87.84313398580353,A,12,8,0.13630185676331333
87.84313398580353,B,6,14,0.13630185676331333
87.84313398580353,C,5,15,0.13630185676331333
87.84313398580353,D,2,18,0.13630185676331333
88.04266169776342,A,12,8,0.061306135080027954
88.04266169776342,B,6,14,0.061306135080027954
88.04266169776342,C,5,15,0.061306135080027954
88.04266169776342,D,2,18,0.061306135080027954
88.37641694183118,A,12,8,0.070251373515272
88.37641694183118,B,6,14,0.070251373515272
88.37641694183118,C,5,15,0.070251373515272
88.37641694183118,D,2,18,0.070251373515272
88.50510291943915,A,12,8,0.15151233166015746
88.50510291943915,B,6,14,0.15151233166015746
88.50510291943915,C,5,15,0.15151233166015746
88.50510291943915,D,2,18,0.15151233166015746
88.84888002846483,A,12,8,0.2816021641891676
88.84888002846483,B,6,14,0.2816021641891676
88.84888002846483,C,5,15,0.2816021641891676
88.84888002846483,D,2,18,0.2816021641891676
89.89781465250022,A,12,8,0.17116562983393935
89.89781465250022,B,6,14,0.17116562983393935
89.89781465250022,C,5,15,0.17116562983393935
89.89781465250022,D,2,18,0.17116562983393935
90.0,A,12,8,0.4239644210028103
90.0,B,6,14,0.4239644210028103
90.0,C,5,15,0.4239644210028103
90.0,D,2,18,0.4239644210028103
90.0347690039769,A,12,8,0.42485642665943474
90.0347690039769,B,6,14,0.42485642665943474
90.0347690039769,C,5,15,0.42485642665943474
90.0347690039769,D,2,18,0.42485642665943474
90.09084361891216,A,12,8,0.26081903078043017
90.09084361891216,B,6,14,0.26081903078043017
90.09084361891216,C,5,15,0.26081903078043017
90.09084361891216,D,2,18,0.26081903078043017
91.34379928739678,A,12,8,0.3347302320672768
91.34379928739678,B,6,14,0.3347302320672768
91.34379928739678,C,5,15,0.3347302320672768
91.34379928739678,D,2,18,0.3347302320672768
91.63446383934954,A,12,8,0.20006176522868835
91.63446383934954,B,6,14,0.20006176522868835
91.63446383934954,C,5,15,0.20006176522868835
91.63446383934954,D,2,18,0.20006176522868835
91.67660823734839,A,12,8,0.2141329268122183
91.67660823734839,B,6,14,0.2141329268122183
91.67660823734839,C,5,15,0.2141329268122183
91.67660823734839,D,2,18,0.2141329268122183
93.0,A,12,8,0.3347302320672768
93.0,B,6,14,0.3347302320672768
93.0,C,5,15,0.3347302320672768
93.0,D,2,18,0.3347302320672768
93.0485698859352,A,12,8,0.21956037485157984
93.0485698859352,B,6,14,0.21956037485157984
93.0485698859352,C,5,15,0.21956037485157984
93.0485698859352,D,2,18,0.21956037485157984
93.44074091955402,A,12,8,0.33567761723251655
93.44074091955402,B,6,14,0.33567761723251655
93.44074091955402,C,5,15,0.33567761723251655
93.44074091955402,D,2,18,0.33567761723251655
93.91795086240546,A,12,8,0.2883583041653388
93.91795086240546,B,6,14,0.2883583041653388
93.91795086240546,C,5,15,0.2883583041653388
93.91795086240546,D,2,18,0.2883583041653388
95.06784918904845,A,12,8,0.16487666418520605
95.06784918904845,B,6,14,0.16487666418520605
95.06784918904845,C,4,16,0.16487666418520605
95.06784918904845,D,2,18,0.16487666418520605
95.08084968709557,A,12,8,0.006729599216551469
95.08084968709557,B,6,14,0.006729599216551469
95.08084968709557,C,3,17,0.006729599216551469
95.08084968709557,D,2,18,0.006729599216551469
96.41515310532806,A,12,8,0.3048416648774739
96.41515310532806,B,6,14,0.3048416648774739
96.41515310532806,C,3,17,0.3048416648774739
96.41515310532806,D,2,18,0.3048416648774739
97.0,A,12,8,0.3223301085598611
97.0,B,6,14,0.3223301085598611
97.0,C,3,17,0.3223301085598611
97.0,D,2,18,0.3223301085598611
98.0,A,12,8,0.32293747705790016
98.0,B,6,14,0.32293747705790016
98.0,C,3,17,0.32293747705790016
98.0,D,2,18,0.32293747705790016
99.65234953824171,A,12,8,0.1347129194671423
99.65234953824171,B,6,14,0.1347129194671423
99.65234953824171,C,3,17,0.1347129194671423
99.65234953824171,D,2,18,0.1347129194671423
99.75922323363505,A,11,9,0.13788721500813125
99.75922323363505,B,6,14,0.13788721500813125
99.75922323363505,C,3,17,0.13788721500813125
99.75922323363505,D,2,18,0.13788721500813125
99.76204173763546,A,11,9,0.08737326163809668
99.76204173763546,B,6,14,0.08737326163809668
99.76204173763546,C,2,18,0.08737326163809668
99.76204173763546,D,2,18,0.08737326163809668
100.00759502094185,A,11,9,0.42261981971922896
100.00759502094185,B,6,14,0.42261981971922896
100.00759502094185,C,2,18,0.42261981971922896
100.00759502094185,D,2,18,0.42261981971922896
100.11494986023034,A,11,9,0.1347129194671423
100.11494986023034,B,6,14,0.1347129194671423
100.11494986023034,C,2,18,0.1347129194671423
100.11494986023034,D,2,18,0.1347129194671423
100.2059334541997,A,11,9,0.5808469871914164
100.2059334541997,B,6,14,0.5808469871914164
100.2059334541997,C,3,17,0.5808469871914164
100.2059334541997,D,2,18,0.5808469871914164
100.23143383177855,A,11,9,0.1777807247424465
100.23143383177855,B,6,14,0.1777807247424465
100.23143383177855,C,3,17,0.1777807247424465
100.23143383177855,D,2,18,0.1777807247424465
100.89561641891878,A,11,9,0.24527204619487764
100.89561641891878,B,6,14,0.24527204619487764
100.89561641891878,C,3,17,0.24527204619487764
100.89561641891878,D,2,18,0.24527204619487764
102.0,A,10,10,0.14799179341239285
102.0,B,6,14,0.14799179341239285
102.0,C,3,17,0.14799179341239285
102.0,D,2,18,0.14799179341239285
102.0870939967061,A,9,11,0.16308767965794294
102.0870939967061,B,6,14,0.16308767965794294
102.0870939967061,C,3,17,0.16308767965794294
102.0870939967061,D,2,18,0.16308767965794294
102.56739718241624,A,9,11,0.1064067990000169
102.56739718241624,B,5,15,0.1064067990000169
102.56739718241624,C,3,17,0.1064067990000169
102.56739718241624,D,2,18,0.1064067990000169
103.25794395452182,A,9,11,0.12768815880002027
103.25794395452182,B,4,16,0.12768815880002027
103.25794395452182,C,3,17,0.12768815880002027
103.25794395452182,D,2,18,0.12768815880002027
103.31779893268438,A,9,11,0.21805706911208944
103.31779893268438,B,4,16,0.21805706911208944
103.31779893268438,C,3,17,0.21805706911208944
103.31779893268438,D,2,18,0.21805706911208944
104.30728259537219,A,9,11,0.2590601355824889
104.30728259537219,B,4,16,0.2590601355824889
104.30728259537219,C,3,17,0.2590601355824889
104.30728259537219,D,2,18,0.2590601355824889
105.03580595304815,A,9,11,0.18991042722914173
105.03580595304815,B,4,16,0.18991042722914173
105.03580595304815,C,3,17,0.18991042722914173
105.03580595304815,D,2,18,0.18991042722914173
105.58204407881459,A,9,11,0.2541352290282534
105.58204407881459,B,4,16,0.2541352290282534
105.58204407881459,C,3,17,0.2541352290282534
105.58204407881459,D,2,18,0.2541352290282534
105.80571663825008,A,9,11,0.2942380395413138
105.80571663825008,B,4,16,0.2942380395413138
105.80571663825008,C,3,17,0.2942380395413138
105.80571663825008,D,2,18,0.2942380395413138
107.95982695328455,A,9,11,0.2930319399770112
107.95982695328455,B,4,16,0.2930319399770112
107.95982695328455,C,3,17,0.2930319399770112
107.95982695328455,D,2,18,0.2930319399770112
109.78507769972046,A,9,11,0.2041323512582095
109.78507769972046,B,4,16,0.2041323512582095
109.78507769972046,C,3,17,0.2041323512582095
109.78507769972046,D,2,18,0.2041323512582095
109.86797460769955,A,9,11,0.24217474168225298
109.86797460769955,B,4,16,0.24217474168225298
109.86797460769955,C,3,17,0.24217474168225298
109.86797460769955,D,2,18,0.24217474168225298
109.88942217412684,A,9,11,0.2949415976204903
109.88942217412684,B,4,16,0.2949415976204903
109.88942217412684,C,3,17,0.2949415976204903
109.88942217412684,D,2,18,0.2949415976204903
110.0,A,9,11,0.34348710508366864
110.0,B,4,16,0.34348710508366864
110.0,C,3,17,0.34348710508366864
110.0,D,2,18,0.34348710508366864
112.61477297617301,A,9,11,0.2642111858050311
112.61477297617301,B,4,16,0.2642111858050311
112.61477297617301,C,3,17,0.2642111858050311
112.61477297617301,D,2,18,0.2642111858050311
112.72983813980821,A,9,11,0.2905443596256372
112.72983813980821,B,4,16,0.2905443596256372
112.72983813980821,C,3,17,0.2905443596256372
112.72983813980821,D,2,18,0.2905443596256372
113.0,A,9,11,0.15961019850002534
113.0,B,3,17,0.15961019850002534
113.0,C,3,17,0.15961019850002534
113.0,D,2,18,0.15961019850002534
114.30553819633556,A,9,11,0.2649649980327202
114.30553819633556,B,3,17,0.2649649980327202
114.30553819633556,C,3,17,0.2649649980327202
114.30553819633556,D,2,18,0.2649649980327202
114.52291003593245,A,9,11,0.3162242295155793
114.52291003593245,B,3,17,0.3162242295155793
114.52291003593245,C,3,17,0.3162242295155793
114.52291003593245,D,2,18,0.3162242295155793
115.69110807709323,A,9,11,0.27853361813112415
