request_id,model,workload_type,arrival_timestamp,completion_timestamp,global_router_queue_time,region_router_queue_time,model_endpoint_router_queue_time,application_scheduler_queue_time,service_time,application_scheduler_response_time,model_endpoint_router_response_time,region_router_response_time,global_router_response_time,queue_time
283,C,dev,587.4643159442611,0.0,1.0,0.0,0.0,0.0,12.076792567525331,12.076792567525331,12.076792567525331,12.076792567525331,0.0,1.0061478911254653
283,C,dev,591.7364534205024,0.0,1.0,0.0,0.0,0.0,9.700552670767593,9.700552670767593,9.700552670767593,9.700552670767593,0.0,1.0
283,C,dev,588.6989559075006,0.0,1.0,0.0,0.0,0.0,12.790249996223793,12.790249996223793,12.790249996223793,12.790249996223793,0.0,1.0076192104397705
283,C,dev,589.1283886326141,0.0,1.0,0.0,0.0,0.0,13.668854367464633,13.668854367464633,13.668854367464633,13.668854367464633,0.0,3.953030432428136
283,C,dev,576.6293043531731,0.0,1.0,0.0,0.0,0.0,27.091710785354962,27.091710785354962,27.091710785354962,27.091710785354962,0.0,8.841766550373336
283,C,dev,587.8290591822157,0.0,1.0,0.0,0.0,0.0,16.605975720925585,16.605975720925585,16.605975720925585,16.605975720925585,0.0,3.7097784939805933
283,C,dev,603.7972430000788,0.0,1.0,0.0,0.0,0.0,0.8341208150208104,0.8341208150208104,0.8341208150208104,0.8341208150208104,0.0,1.0046249257619593
283,C,dev,588.6989559075006,0.0,1.0,0.0,0.0,0.0,16.525622480284255,16.525622480284255,16.525622480284255,16.525622480284255,0.0,1.0062841515667742
283,C,dev,602.4892059037244,0.0,1.0,0.0,0.0,0.0,3.029911136955434,3.029911136955434,3.029911136955434,3.029911136955434,0.0,1.005155424309578
106,A,prod,565.7626534840975,0.0,1.0,0.0,0.0,0.0,39.87401511217263,39.87401511217263,39.87401511217263,39.87401511217263,0.0,20.38309652957821
283,C,dev,591.5388376761963,0.0,1.0,0.0,0.0,0.0,14.360376914815788,14.360376914815788,14.360376914815788,14.360376914815788,0.0,1.0052541519351053
283,C,dev,599.4108317014171,0.0,1.0,0.0,0.0,0.0,6.504391654462665,6.504391654462665,6.504391654462665,6.504391654462665,0.0,1.0051980250477754
283,C,dev,591.5388376761963,0.0,1.0,0.0,0.0,0.0,14.961161744706942,14.961161744706942,14.961161744706942,14.961161744706942,0.0,1.0042460300362563
283,C,dev,585.4710709035464,0.0,1.0,0.0,0.0,0.0,21.05600942526621,21.05600942526621,21.05600942526621,21.05600942526621,0.0,2.817899797267387
283,C,dev,592.260014269748,0.0,1.0,0.0,0.0,0.0,14.508981085473124,14.508981085473124,14.508981085473124,14.508981085473124,0.0,1.0000138154312026
283,C,dev,587.4643159442611,0.0,1.0,0.0,0.0,0.0,19.49614142788448,19.49614142788448,19.49614142788448,19.49614142788448,0.0,3.6416755607078812
106,A,prod,565.7626534840975,0.0,1.0,0.0,0.0,0.0,41.43842197304991,41.43842197304991,41.43842197304991,41.43842197304991,0.0,1.0042314156077055
283,C,dev,592.2927923218695,0.0,1.0,0.0,0.0,0.0,15.180806707779425,15.180806707779425,15.180806707779425,15.180806707779425,0.0,1.0053962309235658
283,C,dev,607.4999994209032,0.0,1.0,0.0,0.0,0.0,0.584983616631348,0.584983616631348,0.584983616631348,0.584983616631348,0.0,1.0067588199323154
283,C,dev,599.7904251270427,0.0,1.0,0.0,0.0,0.0,8.980452242444017,8.980452242444017,8.980452242444017,8.980452242444017,0.0,5.644609776098605
283,C,dev,607.5270803288126,0.0,1.0,0.0,0.0,0.0,1.3755898808412894,1.3755898808412894,1.3755898808412894,1.3755898808412894,0.0,1.5579027087219401
283,C,dev,606.2245783877848,0.0,1.0,0.0,0.0,0.0,3.026243235838251,3.026243235838251,3.026243235838251,3.026243235838251,0.0,1.002418167916744
283,C,dev,602.4892059037244,0.0,1.0,0.0,0.0,0.0,7.668475161924107,7.668475161924107,7.668475161924107,7.668475161924107,0.0,1.0019402902674983
283,C,dev,606.8992145910121,0.0,1.0,0.0,0.0,0.0,3.3910598251144393,3.3910598251144393,3.3910598251144393,3.3910598251144393,0.0,1.0075066561403219
283,C,dev,607.5270803288126,0.0,1.0,0.0,0.0,0.0,2.7844055250299107,2.7844055250299107,2.7844055250299107,2.7844055250299107,0.0,1.0
283,C,dev,606.9152233558798,0.0,1.0,0.0,0.0,0.0,3.5811642483564583,3.5811642483564583,3.5811642483564583,3.5811642483564583,0.0,1.010145023338623
283,C,dev,605.4350349031413,0.0,1.0,0.0,0.0,0.0,6.084062326290564,6.084062326290564,6.084062326290564,6.084062326290564,0.0,1.0
283,C,dev,607.9604573721456,0.0,1.0,0.0,0.0,0.0,3.6897526431620236,3.6897526431620236,3.6897526431620236,3.6897526431620236,0.0,1.0085617354549186
283,C,dev,602.43700609127,0.0,1.0,0.0,0.0,0.0,9.563157319728361,9.563157319728361,9.563157319728361,9.563157319728361,0.0,1.0046373633944086
283,C,dev,607.7689953552211,0.0,1.0,0.0,0.0,0.0,4.236030649517147,4.236030649517147,4.236030649517147,4.236030649517147,0.0,1.0085095393246775
283,C,dev,603.7972430000788,0.0,1.0,0.0,0.0,0.0,8.350454369593763,8.350454369593763,8.350454369593763,8.350454369593763,0.0,1.0073834540135067
283,C,dev,602.43700609127,0.0,1.0,0.0,0.0,0.0,10.235017132935809,10.235017132935809,10.235017132935809,10.235017132935809,0.0,1.0
283,C,dev,606.2245783877848,0.0,1.0,0.0,0.0,0.0,7.206032052188675,7.206032052188675,7.206032052188675,7.206032052188675,0.0,1.3025019410277991
283,C,dev,613.6720232242058,0.0,1.0,0.0,0.0,0.0,0.11931947134553411,0.11931947134553411,0.11931947134553411,0.11931947134553411,0.0,1.0
283,C,dev,607.7689953552211,0.0,1.0,0.0,0.0,0.0,6.073109392629476,6.073109392629476,6.073109392629476,6.073109392629476,0.0,1.0
283,C,dev,585.2749965976725,0.0,1.0,0.0,0.0,0.0,29.327532068333767,29.327532068333767,29.327532068333767,29.327532068333767,0.0,9.493261823990565
283,C,dev,605.4350349031413,0.0,1.0,0.0,0.0,0.0,9.344858178907543,9.344858178907543,9.344858178907543,9.344858178907543,0.0,1.0048577581924292
283,C,dev,599.4108317014171,0.0,1.0,0.0,0.0,0.0,15.609755128149231,15.609755128149231,15.609755128149231,15.609755128149231,0.0,1.0100111827895262
283,C,dev,607.9604573721456,0.0,1.0,0.0,0.0,0.0,8.25171555608415,8.25171555608415,8.25171555608415,8.25171555608415,0.0,1.004343462766201
283,C,dev,606.8992145910121,0.0,1.0,0.0,0.0,0.0,9.327563940001141,9.327563940001141,9.327563940001141,9.327563940001141,0.0,6.100948819986229
283,C,dev,612.6502100153076,0.0,1.0,0.0,0.0,0.0,4.128299960631011,4.128299960631011,4.128299960631011,4.128299960631011,0.0,1.0
283,C,dev,612.6502100153076,0.0,1.0,0.0,0.0,0.0,4.237546253952814,4.237546253952814,4.237546253952814,4.237546253952814,0.0,1.0
283,C,dev,608.4735990296489,0.0,1.0,0.0,0.0,0.0,8.752971760189439,8.752971760189439,8.752971760189439,8.752971760189439,0.0,1.0038245312457548
283,C,dev,613.0001634109983,0.0,1.0,0.0,0.0,0.0,4.542301017282057,4.542301017282057,4.542301017282057,4.542301017282057,0.0,1.009726795889037
283,C,dev,612.5190972294318,0.0,1.0,0.0,0.0,0.0,6.411030921749443,6.411030921749443,6.411030921749443,6.411030921749443,0.0,1.0000863668888087
289,C,dev,615.6025286660063,0.0,1.0,0.0,0.0,0.0,3.3711602966931196,3.3711602966931196,3.3711602966931196,3.3711602966931196,0.0,1.006848911651332
283,C,dev,614.8421047478506,0.0,1.0,0.0,0.0,0.0,4.426586683941423,4.426586683941423,4.426586683941423,4.426586683941423,0.0,1.0033447271360956
283,C,dev,614.4306104399735,0.0,1.0,0.0,0.0,0.0,4.843668873141269,4.843668873141269,4.843668873141269,4.843668873141269,0.0,2.7961680910397035
283,C,dev,607.4999994209032,0.0,1.0,0.0,0.0,0.0,12.315472458418412,12.315472458418412,12.315472458418412,12.315472458418412,0.0,1.0035599390359948
283,C,dev,599.7904251270427,0.0,1.0,0.0,0.0,0.0,20.525541796032144,20.525541796032144,20.525541796032144,20.525541796032144,0.0,4.9305900114853785
758,C,dev,619.9301281511813,0.0,1.0,0.0,0.0,0.0,0.6098009529027877,0.6098009529027877,0.6098009529027877,0.6098009529027877,0.0,1.0106411568020803
615,C,prod,615.0,0.0,1.0,0.0,0.0,0.0,5.797595388838431,5.797595388838431,5.797595388838431,5.797595388838431,0.0,1.0094693908835097
758,C,dev,619.9301281511813,0.0,1.0,0.0,0.0,0.0,1.894512870794415,1.894512870794415,1.894512870794415,1.894512870794415,0.0,1.00519359838961
758,C,dev,620.268691431792,0.0,1.0,0.0,0.0,0.0,1.7243979830074068,1.7243979830074068,1.7243979830074068,1.7243979830074068,0.0,1.0098997451624427
758,C,dev,616.0205868295664,0.0,1.0,0.0,0.0,0.0,6.041223693284223,6.041223693284223,6.041223693284223,6.041223693284223,0.0,1.0
283,C,dev,613.0050260047383,0.0,1.0,0.0,0.0,0.0,10.01319848090452,10.01319848090452,10.01319848090452,10.01319848090452,0.0,1.837078743112329
617,D,prod,617.0,0.0,1.0,0.0,0.0,0.0,6.358564005220273,6.358564005220273,6.358564005220273,6.358564005220273,0.0,1.0
758,C,dev,615.7798930820488,0.0,1.0,0.0,0.0,0.0,8.03242997099278,8.03242997099278,8.03242997099278,8.03242997099278,0.0,2.4466777077894903
283,C,dev,613.1476973696725,0.0,1.0,0.0,0.0,0.0,11.168064797913075,11.168064797913075,11.168064797913075,11.168064797913075,0.0,4.740058899587893
758,C,dev,619.9736889626994,0.0,1.0,0.0,0.0,0.0,4.35124881190643,4.35124881190643,4.35124881190643,4.35124881190643,0.0,1.3422779603754407
283,C,dev,613.6720232242058,0.0,1.0,0.0,0.0,0.0,11.128194217173586,11.128194217173586,11.128194217173586,11.128194217173586,0.0,1.0098867220297052
622,C,prod,622.0,0.0,1.0,0.0,0.0,0.0,2.8726928854565585,2.8726928854565585,2.8726928854565585,2.8726928854565585,0.0,1.0
283,C,dev,606.9152233558798,0.0,1.0,0.0,0.0,0.0,18.59225147050222,18.59225147050222,18.59225147050222,18.59225147050222,0.0,6.75679986832597
283,C,dev,604.7210151385281,0.0,1.0,0.0,0.0,0.0,20.995331561937064,20.995331561937064,20.995331561937064,20.995331561937064,0.0,1.0081288068279264
758,C,dev,625.8002174413793,0.0,1.0,0.0,0.0,0.0,0.4157168964579796,0.4157168964579796,0.4157168964579796,0.4157168964579796,0.0,1.0014002940342834
758,C,dev,625.3157621675856,0.0,1.0,0.0,0.0,0.0,1.2464295179267992,1.2464295179267992,1.2464295179267992,1.2464295179267992,0.0,1.0026454750870926
758,C,dev,620.8154718793216,0.0,1.0,0.0,0.0,0.0,5.999717029142516,5.999717029142516,5.999717029142516,5.999717029142516,0.0,4.5094658952841655
758,C,dev,625.3249377746058,0.0,1.0,0.0,0.0,0.0,1.9767359315932254,1.9767359315932254,1.9767359315932254,1.9767359315932254,0.0,1.0
283,C,dev,613.0001634109983,0.0,1.0,0.0,0.0,0.0,14.311073696962694,14.311073696962694,14.311073696962694,14.311073696962694,0.0,1.0097172908615448
624,C,prod,624.0,0.0,1.0,0.0,0.0,0.0,4.244790951236837,4.244790951236837,4.244790951236837,4.244790951236837,0.0,1.008992231855359
758,C,dev,620.2742793131148,0.0,1.0,0.0,0.0,0.0,8.641653274875807,8.641653274875807,8.641653274875807,8.641653274875807,0.0,1.0
283,C,dev,612.5190972294318,0.0,1.0,0.0,0.0,0.0,16.47426966119565,16.47426966119565,16.47426966119565,16.47426966119565,0.0,1.0095385558792032
283,C,dev,614.8421047478506,0.0,1.0,0.0,0.0,0.0,14.412247838228609,14.412247838228609,14.412247838228609,14.412247838228609,0.0,13.469132360110393
621,D,prod,621.0,0.0,1.0,0.0,0.0,0.0,8.481892494686008,8.481892494686008,8.481892494686008,8.481892494686008,0.0,1.0
758,C,dev,616.0205868295664,0.0,1.0,0.0,0.0,0.0,13.639798944705376,13.639798944705376,13.639798944705376,13.639798944705376,0.0,1.1915860986633788
283,C,dev,604.7210151385281,0.0,1.0,0.0,0.0,0.0,25.152604036214598,25.152604036214598,25.152604036214598,25.152604036214598,0.0,10.881513527478205
758,C,dev,620.2742793131148,0.0,1.0,0.0,0.0,0.0,9.8523416775231,9.8523416775231,9.8523416775231,9.8523416775231,0.0,1.0106275530677067
758,C,dev,629.9933668906275,0.0,1.0,0.0,0.0,0.0,0.8666290181602108,0.8666290181602108,0.8666290181602108,0.8666290181602108,0.0,1.0043337934371266
283,C,dev,614.4306104399735,0.0,1.0,0.0,0.0,0.0,17.927890683372652,17.927890683372652,17.927890683372652,17.927890683372652,0.0,1.5899763895928345
758,C,dev,620.268691431792,0.0,1.0,0.0,0.0,0.0,12.237246295226896,12.237246295226896,12.237246295226896,12.237246295226896,0.0,2.5559495901836726
758,C,dev,615.7798930820488,0.0,1.0,0.0,0.0,0.0,17.05634323430752,17.05634323430752,17.05634323430752,17.05634323430752,0.0,10.727581744333179
758,C,dev,630.6603857742717,0.0,1.0,0.0,0.0,0.0,2.2287302262890307,2.2287302262890307,2.2287302262890307,2.2287302262890307,0.0,1.0016100676823498
758,C,dev,620.8154718793216,0.0,1.0,0.0,0.0,0.0,12.309533536983281,12.309533536983281,12.309533536983281,12.309533536983281,0.0,2.1776175354777934
631,C,prod,631.0,0.0,1.0,0.0,0.0,0.0,2.3078824904877138,2.3078824904877138,2.3078824904877138,2.3078824904877138,0.0,1.0033973251223642
758,C,dev,615.6025286660063,0.0,1.0,0.0,0.0,0.0,18.08644279627015,18.08644279627015,18.08644279627015,18.08644279627015,0.0,14.390838224621234
758,C,dev,625.3157621675856,0.0,1.0,0.0,0.0,0.0,8.381879118636334,8.381879118636334,8.381879118636334,8.381879118636334,0.0,1.0051980250477754
758,C,dev,630.2543525860792,0.0,1.0,0.0,0.0,0.0,3.5102431929523163,3.5102431929523163,3.5102431929523163,3.5102431929523163,0.0,1.605643322708488
625,C,prod,625.0,0.0,1.0,0.0,0.0,0.0,8.969134101873237,8.969134101873237,8.969134101873237,8.969134101873237,0.0,1.002411640119476
758,C,dev,634.3078824904877,0.0,1.0,0.0,0.0,0.0,0.2083206110402216,0.2083206110402216,0.2083206110402216,0.2083206110402216,0.0,1.0016157686670795
758,C,dev,630.6603857742717,0.0,1.0,0.0,0.0,0.0,4.035100922688571,4.035100922688571,4.035100922688571,4.035100922688571,0.0,1.0051980250477754
758,C,dev,628.311237107961,0.0,1.0,0.0,0.0,0.0,6.864172364493925,6.864172364493925,6.864172364493925,6.864172364493925,0.0,1.0043404199499264
758,C,dev,625.8726928854566,0.0,1.0,0.0,0.0,0.0,9.658735639719907,9.658735639719907,9.658735639719907,9.658735639719907,0.0,1.0046004675559743
758,C,dev,630.8736191747427,0.0,1.0,0.0,0.0,0.0,4.791261565838454,4.791261565838454,4.791261565838454,4.791261565838454,0.0,3.8153522875337558
758,C,dev,628.311237107961,0.0,1.0,0.0,0.0,0.0,7.417009086972826,7.417009086972826,7.417009086972826,7.417009086972826,0.0,1.0
758,C,dev,634.3078824904877,0.0,1.0,0.0,0.0,0.0,1.6918013188111445,1.6918013188111445,1.6918013188111445,1.6918013188111445,0.0,1.0
758,C,dev,633.8891160005608,0.0,1.0,0.0,0.0,0.0,3.007309985012057,3.007309985012057,3.007309985012057,3.007309985012057,0.0,1.0044259329307579
758,C,dev,634.6889714622764,0.0,1.0,0.0,0.0,0.0,3.2104852774913297,3.2104852774913297,3.2104852774913297,3.2104852774913297,0.0,1.0
758,C,dev,624.8123230530416,0.0,1.0,0.0,0.0,0.0,13.866822274418496,13.866822274418496,13.866822274418496,13.866822274418496,0.0,3.002865855422556
106,A,prod,552.7483388675543,0.0,1.0,0.0,0.0,0.0,87.07322761028672,87.07322761028672,87.07322761028672,87.07322761028672,0.0,1.0510338229919398
758,C,dev,625.3249377746058,0.0,1.0,0.0,0.0,0.0,15.269740117925494,15.269740117925494,15.269740117925494,15.269740117925494,0.0,1.0096125948427925
758,C,dev,625.8726928854566,0.0,1.0,0.0,0.0,0.0,14.873103938156873,14.873103938156873,14.873103938156873,14.873103938156873,0.0,1.3432414523807665
758,C,dev,630.8736191747427,0.0,1.0,0.0,0.0,0.0,9.916868911835309,9.916868911835309,9.916868911835309,9.916868911835309,0.0,5.301790297712273
758,C,dev,633.8362363163563,0.0,1.0,0.0,0.0,0.0,7.181829236005797,7.181829236005797,7.181829236005797,7.181829236005797,0.0,1.0051980250477754
758,C,dev,634.6976412862219,0.0,1.0,0.0,0.0,0.0,6.797853464370746,6.797853464370746,6.797853464370746,6.797853464370746,0.0,1.0027251517211653
758,C,dev,625.8002174413793,0.0,1.0,0.0,0.0,0.0,16.02384237977742,16.02384237977742,16.02384237977742,16.02384237977742,0.0,1.0089788337749042
758,C,dev,619.9736889626994,0.0,1.0,0.0,0.0,0.0,21.856852957032174,21.856852957032174,21.856852957032174,21.856852957032174,0.0,6.7426577377657395
758,C,dev,634.6889714622764,0.0,1.0,0.0,0.0,0.0,7.201399174451808,7.201399174451808,7.201399174451808,7.201399174451808,0.0,1.0020479172322894
758,C,dev,631.1266209906379,0.0,1.0,0.0,0.0,0.0,12.446363731496376,12.446363731496376,12.446363731496376,12.446363731496376,0.0,1.0043078410247972
758,C,dev,634.6976412862219,0.0,1.0,0.0,0.0,0.0,9.016697023759207,9.016697023759207,9.016697023759207,9.016697023759207,0.0,1.004449269450106
758,C,dev,624.8123230530416,0.0,1.0,0.0,0.0,0.0,19.19504359095447,19.19504359095447,19.19504359095447,19.19504359095447,0.0,1.009746519316991
758,C,dev,630.2543525860792,0.0,1.0,0.0,0.0,0.0,13.912289736800517,13.912289736800517,13.912289736800517,13.912289736800517,0.0,1.0051980250477754
758,C,dev,634.7645957790315,0.0,1.0,0.0,0.0,0.0,10.12754287411201,10.12754287411201,10.12754287411201,10.12754287411201,0.0,1.0108880145369312
635,D,prod,635.0,0.0,1.0,0.0,0.0,0.0,10.45439467233632,10.45439467233632,10.45439467233632,10.45439467233632,0.0,1.0
758,C,dev,634.1250054163049,0.0,1.0,0.0,0.0,0.0,11.620605411496967,11.620605411496967,11.620605411496967,11.620605411496967,0.0,1.008018946175298
758,C,dev,644.5729847221343,0.0,1.0,0.0,0.0,0.0,1.2289116663631603,1.2289116663631603,1.2289116663631603,1.2289116663631603,0.0,1.0069781798537178
758,C,dev,642.8305419197316,0.0,1.0,0.0,0.0,0.0,3.113549430338594,3.113549430338594,3.113549430338594,3.113549430338594,0.0,1.0005082937954057
758,C,dev,633.8362363163563,0.0,1.0,0.0,0.0,0.0,12.131924180964461,12.131924180964461,12.131924180964461,12.131924180964461,0.0,1.0048419211027522
642,D,prod,642.0,0.0,1.0,0.0,0.0,0.0,4.05493193671316,4.05493193671316,4.05493193671316,4.05493193671316,0.0,1.0020147317852661
758,C,dev,644.7143383099811,0.0,1.0,0.0,0.0,0.0,1.5674238214278375,1.5674238214278375,1.5674238214278375,1.5674238214278375,0.0,1.0067694930199877
640,D,prod,640.0,0.0,1.0,0.0,0.0,0.0,7.205751569744166,7.205751569744166,7.205751569744166,7.205751569744166,0.0,1.0
758,C,dev,634.1250054163049,0.0,1.0,0.0,0.0,0.0,13.151028674662143,13.151028674662143,13.151028674662143,13.151028674662143,0.0,7.620791407308502
106,A,prod,586.1457500136758,0.0,1.0,0.0,0.0,0.0,61.22844142434417,61.22844142434417,61.22844142434417,61.22844142434417,0.0,20.490918582594418
758,C,dev,646.9681604973208,0.0,1.0,0.0,0.0,0.0,0.8481098391284831,0.8481098391284831,0.8481098391284831,0.8481098391284831,0.0,1.0076908965161238
758,C,dev,646.8018963884974,0.0,1.0,0.0,0.0,0.0,1.0429069775249218,1.0429069775249218,1.0429069775249218,1.0429069775249218,0.0,1.0066836728935868
758,C,dev,642.8903706367282,0.0,1.0,0.0,0.0,0.0,5.6404950792025375,5.6404950792025375,5.6404950792025375,5.6404950792025375,0.0,1.0044436024141987
758,C,dev,633.5059377270189,0.0,1.0,0.0,0.0,0.0,15.382842499026424,15.382842499026424,15.382842499026424,15.382842499026424,0.0,1.0107263382301426
758,C,dev,629.9933668906275,0.0,1.0,0.0,0.0,0.0,19.21671011801152,19.21671011801152,19.21671011801152,19.21671011801152,0.0,1.0004390045013452
758,C,dev,642.8903706367282,0.0,1.0,0.0,0.0,0.0,6.515498787031106,6.515498787031106,6.515498787031106,6.515498787031106,0.0,4.0537207133419315
758,C,dev,631.1266209906379,0.0,1.0,0.0,0.0,0.0,19.497300358548614,19.497300358548614,19.497300358548614,19.497300358548614,0.0,4.568865706322413
758,C,dev,646.7456108278019,0.0,1.0,0.0,0.0,0.0,3.9595980867866274,3.9595980867866274,3.9595980867866274,3.9595980867866274,0.0,3.464466180837121
758,C,dev,634.7645957790315,0.0,1.0,0.0,0.0,0.0,16.050792163538176,16.050792163538176,16.050792163538176,16.050792163538176,0.0,1.9636504159022934
758,C,dev,646.9440913500702,0.0,1.0,0.0,0.0,0.0,4.112077442239638,4.112077442239638,4.112077442239638,4.112077442239638,0.0,1.0056477203991108
758,C,dev,633.8891160005608,0.0,1.0,0.0,0.0,0.0,17.24353491336558,17.24353491336558,17.24353491336558,17.24353491336558,0.0,13.079044496760048
758,C,dev,633.5059377270189,0.0,1.0,0.0,0.0,0.0,18.279040136041885,18.279040136041885,18.279040136041885,18.279040136041885,0.0,11.501428916977147
758,C,dev,646.8018963884974,0.0,1.0,0.0,0.0,0.0,6.618531859079894,6.618531859079894,6.618531859079894,6.618531859079894,0.0,1.0
758,C,dev,645.8921386531435,0.0,1.0,0.0,0.0,0.0,7.783993557320969,7.783993557320969,7.783993557320969,7.783993557320969,0.0,3.6387270627872113
758,C,dev,645.1666423228797,0.0,1.0,0.0,0.0,0.0,8.552497054088349,8.552497054088349,8.552497054088349,8.552497054088349,0.0,1.0
758,C,dev,647.281762131409,0.0,1.0,0.0,0.0,0.0,6.450654384576751,6.450654384576751,6.450654384576751,6.450654384576751,0.0,1.0051980250477754
758,C,dev,654.7191393769681,0.0,1.0,0.0,0.0,0.0,0.07287360262444054,0.07287360262444054,0.07287360262444054,0.07287360262444054,0.0,1.0081870830530306
758,C,dev,648.8448033660223,0.0,1.0,0.0,0.0,0.0,6.082537103667391,6.082537103667391,6.082537103667391,6.082537103667391,0.0,1.0094431919436602
758,C,dev,650.210077008639,0.0,1.0,0.0,0.0,0.0,5.319203348677206,5.319203348677206,5.319203348677206,5.319203348677206,0.0,1.0
758,C,dev,650.4058694237593,0.0,1.0,0.0,0.0,0.0,5.123410933556897,5.123410933556897,5.123410933556897,5.123410933556897,0.0,1.0109174962215093
758,C,dev,644.7143383099811,0.0,1.0,0.0,0.0,0.0,11.004083813540205,11.004083813540205,11.004083813540205,11.004083813540205,0.0,2.031272517820753
650,C,prod,650.0,0.0,1.0,0.0,0.0,0.0,6.242148687874305,6.242148687874305,6.242148687874305,6.242148687874305,0.0,1.0051404841706244
758,C,dev,649.5308657159308,0.0,1.0,0.0,0.0,0.0,6.9096617877642075,6.9096617877642075,6.9096617877642075,6.9096617877642075,0.0,1.0061164937043259
655,C,prod,655.0,0.0,1.0,0.0,0.0,0.0,1.5174302907918218,1.5174302907918218,1.5174302907918218,1.5174302907918218,0.0,1.0105342893855322
758,C,dev,645.0073666439961,0.0,1.0,0.0,0.0,0.0,12.15496532360703,12.15496532360703,12.15496532360703,12.15496532360703,0.0,1.7945297445013466
758,C,dev,656.7184221235213,0.0,1.0,0.0,0.0,0.0,0.5606825643498041,0.5606825643498041,0.5606825643498041,0.5606825643498041,0.0,1.004309576003152
758,C,dev,642.8305419197316,0.0,1.0,0.0,0.0,0.0,14.98309849740997,14.98309849740997,14.98309849740997,14.98309849740997,0.0,7.058238306313797
758,C,dev,646.9440913500702,0.0,1.0,0.0,0.0,0.0,10.957924293359383,10.957924293359383,10.957924293359383,10.957924293359383,0.0,1.0026450007893573
106,A,prod,608.2010754571475,0.0,1.0,0.0,0.0,0.0,49.711118646647606,49.711118646647606,49.711118646647606,49.711118646647606,0.0,32.62049102069352
758,C,dev,657.440527503695,0.0,1.0,0.0,0.0,0.0,0.4833401744821231,0.4833401744821231,0.4833401744821231,0.4833401744821231,0.0,1.0034830952973834
758,C,dev,657.440527503695,0.0,1.0,0.0,0.0,0.0,0.5124529781539877,0.5124529781539877,0.5124529781539877,0.5124529781539877,0.0,1.0107340941038956
758,C,dev,658.1623319676031,0.0,1.0,0.0,0.0,0.0,0.16308604285677575,0.16308604285677575,0.16308604285677575,0.16308604285677575,0.0,1.000942545207181
758,C,dev,657.5174302907918,0.0,1.0,0.0,0.0,0.0,1.5177493270443847,1.5177493270443847,1.5177493270443847,1.5177493270443847,0.0,1.0108590283767853
