request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
11,2,0,PROMPT,a100-80gb_1,12.0,12.077331404927245
11,2,1,TOKEN,a100-80gb_1,12.077331404927245,44.52713214997868
35,2,0,PROMPT,a100-80gb_1,36.00492012781623,36.24439886227978
35,2,1,TOKEN,a100-80gb_1,36.24439886227978,52.00450362588148
1,2,0,PROMPT,a100-80gb_0,2.0,2.101548542215605
1,2,1,TOKEN,a100-80gb_0,2.101548542215605,53.610407490410736
744,2,0,PROMPT,a100-80gb_2,53.01778633430701,53.10285611938801
744,2,1,TOKEN,a100-80gb_2,53.10285611938801,65.33115121733931
12,2,0,PROMPT,a100-80gb_2,13.0,13.157644543532806
12,2,1,TOKEN,a100-80gb_2,13.157644543532806,71.65823914544264
17,2,0,PROMPT,a100-80gb_0,18.034101610100816,18.178715093032125
17,2,1,TOKEN,a100-80gb_0,18.178715093032125,75.40982125477353
62,2,0,PROMPT,a100-80gb_2,63.0536398608596,63.375480730307366
62,2,1,TOKEN,a100-80gb_2,63.375480730307366,102.25794395452182
112,2,0,PROMPT,a100-80gb_0,113.0489048218473,113.18091336195027
112,2,1,TOKEN,a100-80gb_0,113.18091336195027,138.89160528178604
115,2,0,PROMPT,a100-80gb_0,116.0,116.09240999984264
115,2,1,TOKEN,a100-80gb_0,116.09240999984264,160.09386522342456
165,2,0,PROMPT,a100-80gb_0,166.0,166.1635209737558
165,2,1,TOKEN,a100-80gb_0,166.1635209737558,169.78717022746255
152,2,0,PROMPT,a100-80gb_1,153.00569201277258,153.3141702939486
152,2,1,TOKEN,a100-80gb_1,153.3141702939486,176.83943359026003
126,2,0,PROMPT,a100-80gb_1,127.0,127.2950377840914
126,2,1,TOKEN,a100-80gb_1,127.2950377840914,179.83038218062114
184,2,0,PROMPT,a100-80gb_0,185.024770844867,185.1334637619821
184,2,1,TOKEN,a100-80gb_0,185.1334637619821,186.91655217808395
205,2,0,PROMPT,a100-80gb_1,206.0128648644672,206.33664938311813
205,2,1,TOKEN,a100-80gb_1,206.33664938311813,210.36302979759566
181,2,0,PROMPT,a100-80gb_0,182.0,182.2638952229952
181,2,1,TOKEN,a100-80gb_0,182.2638952229952,214.00764421770106
