request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
106,2,0,PROMPT,a100-80gb_2,156.83510497326714,156.9092080931064
106,2,1,TOKEN,a100-80gb_2,156.9092080931064,162.95620853525344
106,2,0,PROMPT,a100-80gb_1,151.20741523366078,151.30386672168393
106,2,1,TOKEN,a100-80gb_1,151.30386672168393,173.4643328441964
106,2,0,PROMPT,a100-80gb_0,136.02940142048593,136.11590284098762
106,2,1,TOKEN,a100-80gb_0,136.11590284098762,174.59908514000747
173,2,0,PROMPT,a100-80gb_2,174.0,174.07590874566608
173,2,1,TOKEN,a100-80gb_2,174.07590874566608,195.13214734734782
177,2,0,PROMPT,a100-80gb_2,178.01960468619677,178.19940859654915
177,2,1,TOKEN,a100-80gb_2,178.19940859654915,212.5940141613557
106,2,0,PROMPT,a100-80gb_0,160.19873938449496,160.2966145290162
106,2,1,TOKEN,a100-80gb_0,174.59908514000747,214.50928805817793
106,2,0,PROMPT,a100-80gb_2,199.1284259004189,199.2371332833965
106,2,1,TOKEN,a100-80gb_2,199.2371332833965,222.32179748133137
106,2,0,PROMPT,a100-80gb_1,161.50489355452328,161.63324502260437
106,2,1,TOKEN,a100-80gb_1,173.4643328441964,224.20655394569113
106,2,0,PROMPT,a100-80gb_0,214.50928805817793,214.61495467787458
106,2,1,TOKEN,a100-80gb_0,214.61495467787458,240.8870102708906
106,2,0,PROMPT,a100-80gb_1,225.2337980230418,225.33359137645635
106,2,1,TOKEN,a100-80gb_1,225.33359137645635,244.31718978961882
106,2,0,PROMPT,a100-80gb_1,224.20655394569113,224.28731099731445
106,2,1,TOKEN,a100-80gb_1,224.28731099731445,250.89001635716994
106,2,0,PROMPT,a100-80gb_1,250.89001635716994,251.0388802371819
106,2,1,TOKEN,a100-80gb_1,251.0388802371819,255.9573509633793
225,2,0,PROMPT,a100-80gb_0,240.8870102708906,240.96829880062973
225,2,1,TOKEN,a100-80gb_0,240.96829880062973,258.73373461192733
240,2,0,PROMPT,a100-80gb_0,241.02088494581852,241.10188281383915
240,2,1,TOKEN,a100-80gb_0,241.10188281383915,262.88804008184377
106,2,0,PROMPT,a100-80gb_0,215.56144170360193,215.64735625149427
106,2,1,TOKEN,a100-80gb_0,240.8870102708906,263.93969233265193
106,2,0,PROMPT,a100-80gb_1,251.93278465036886,252.06623763538903
106,2,1,TOKEN,a100-80gb_1,255.9573509633793,284.93037047314465
307,2,0,PROMPT,a100-80gb_0,308.0330534894185,308.1137728066256
307,2,1,TOKEN,a100-80gb_0,308.1137728066256,309.2707457190445
106,2,0,PROMPT,a100-80gb_0,295.93736272097544,296.08556406632
106,2,1,TOKEN,a100-80gb_0,296.08556406632,336.9310580883615
310,2,0,PROMPT,a100-80gb_0,336.9310580883615,337.06057561745723
310,2,1,TOKEN,a100-80gb_0,337.06057561745723,340.26954581967556
303,2,0,PROMPT,a100-80gb_0,304.02553855992176,304.194264890635
303,2,1,TOKEN,a100-80gb_0,304.194264890635,354.04711585914526
106,2,0,PROMPT,a100-80gb_0,337.74419550491183,337.90301031700056
106,2,1,TOKEN,a100-80gb_0,337.90301031700056,368.2444212450557
368,2,0,PROMPT,a100-80gb_0,369.0119321781906,369.19654609022837
368,2,1,TOKEN,a100-80gb_0,369.19654609022837,388.7585921004678
106,2,0,PROMPT,a100-80gb_0,368.2444212450557,368.3283582151653
106,2,1,TOKEN,a100-80gb_0,368.3283582151653,402.95589748637826
106,2,0,PROMPT,a100-80gb_0,402.95589748637826,403.1079415327938
106,2,1,TOKEN,a100-80gb_0,403.1079415327938,422.4583429476643
406,2,0,PROMPT,a100-80gb_0,422.4583429476643,422.67394459154934
406,2,1,TOKEN,a100-80gb_0,422.67394459154934,461.2195890149513
106,2,0,PROMPT,a100-80gb_0,422.4583429476643,422.67394459154934
106,2,1,TOKEN,a100-80gb_0,422.67394459154934,472.9980942240029
