request_id,model,workload_type,arrival_timestamp,completion_timestamp,global_router_queue_time,region_router_queue_time,model_endpoint_router_queue_time,application_scheduler_queue_time,service_time,application_scheduler_response_time,model_endpoint_router_response_time,region_router_response_time,global_router_response_time,queue_time
0,D,prod,0.0,0.0,1.0,0.0,0.0,0.0,5.232571105819661,5.232571105819661,5.232571105819661,5.232571105819661,0.0,1.0
5,C,prod,5.0,0.0,1.0,0.0,0.0,0.0,10.258706470781704,10.258706470781704,10.258706470781704,10.258706470781704,0.0,1.0
389,D,prod,6.232571105819661,0.0,1.0,0.0,0.0,0.0,10.862593786198646,10.862593786198646,10.862593786198646,10.862593786198646,0.0,1.0
241,C,prod,16.258706470781704,0.0,1.0,0.0,0.0,0.0,1.015226731836794,1.015226731836794,1.015226731836794,1.015226731836794,0.0,1.0
389,D,prod,18.095164892018307,0.0,1.0,0.0,0.0,0.0,7.699050131862986,7.699050131862986,7.699050131862986,7.699050131862986,0.0,1.0
241,C,prod,18.273933202618498,0.0,1.0,0.0,0.0,0.0,10.062037883620942,10.062037883620942,10.062037883620942,10.062037883620942,0.0,1.0
389,D,prod,26.794215023881293,0.0,1.0,0.0,0.0,0.0,4.889400901007001,4.889400901007001,4.889400901007001,4.889400901007001,0.0,1.0
29,C,prod,29.0,0.0,1.0,0.0,0.0,0.0,6.718649004919456,6.718649004919456,6.718649004919456,6.718649004919456,0.0,1.0
241,C,prod,29.33597108623944,0.0,1.0,0.0,0.0,0.0,7.133824936514721,7.133824936514721,7.133824936514721,7.133824936514721,0.0,1.0
389,D,prod,32.683615924888294,0.0,1.0,0.0,0.0,0.0,4.117275017712963,4.117275017712963,4.117275017712963,4.117275017712963,0.0,1.0
241,C,prod,36.718649004919456,0.0,1.0,0.0,0.0,0.0,3.167670515378937,3.167670515378937,3.167670515378937,3.167670515378937,0.0,1.0
241,C,prod,37.46979602275416,0.0,1.0,0.0,0.0,0.0,2.807125428608856,2.807125428608856,2.807125428608856,2.807125428608856,0.0,1.0
241,C,prod,41.276921451363016,0.0,1.0,0.0,0.0,0.0,1.528779197906843,1.528779197906843,1.528779197906843,1.528779197906843,0.0,1.0
389,D,prod,37.80089094260126,0.0,1.0,0.0,0.0,0.0,5.522104596549873,5.522104596549873,5.522104596549873,5.522104596549873,0.0,1.0
31,B,prod,31.0,0.0,1.0,0.0,0.0,0.0,13.584936126474162,13.584936126474162,13.584936126474162,13.584936126474162,0.0,1.0
241,C,prod,40.88631952029839,0.0,1.0,0.0,0.0,0.0,4.5443459247462386,4.5443459247462386,4.5443459247462386,4.5443459247462386,0.0,1.0
20,A,prod,20.0,0.0,1.0,0.0,0.0,0.0,27.773286434414267,27.773286434414267,27.773286434414267,27.773286434414267,0.0,1.0
