response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
0.0,1.0,1.1276627706547604,-0.010842911256295773,0.0,698,104
0.0,1.0,1.1129545010381978,-0.0013281079964656299,0.0,587,838
0.0,1.0,1.1308429370583397,-0.0022707689499163446,0.0,722,498
0.0,1.0,1.0752371409378298,-0.00741542855819193,0.0,118,145
0.0,1.0,1.1110994039694475,-0.01683483945408254,0.0,573,66
0.0,1.0212966957441907,1.1231210938693081,-0.0012894616462334192,0.0,418,871
0.0,1.051652250808175,1.1333404404101657,-0.0012777231571704235,0.0,111,887
0.0,1.0516522508081607,1.1344667545692033,-0.18907779242820055,0.0,204,6
0.0,1.0,1.1382633253333694,-0.0020181973853428533,0.0,778,564
0.0,1.051652250808175,1.1805867493965962,-0.00198085025066543,2.892043689722499,625,596
0.0,1.0,1.0764482314314279,-0.0011934015869528025,0.0,228,902
0.0,1.0052497327902472,1.1318521093493814,-0.010105822404905191,0.0,608,112
0.0,1.051722903776323,1.164478305786531,-0.01369974477395919,0.0,513,85
0.0,1.0241710576853649,1.1845892036692334,-0.0014376082568801375,0.0,841,824
0.0,10.32062983362627,10.471865249119816,-0.02792497399765284,0.0,778,375
0.0,1.0420335666615586,1.157266848327879,-0.0134565912596265,0.0,529,86
0.0,1.0517229037763514,1.133943973195528,-0.006299688739975156,0.0,154,180
0.0,1.051722903776323,1.1338470859560061,-0.002813516342322596,0.0,146,403
0.0,1.0516522508081607,1.1332314422657248,-0.0019846435065949647,28.81527167214415,102,571
0.0,1.0517758935024517,1.1419782024504457,-0.004986804377512863,0.0,314,229
0.0,1.028538179073422,1.2023660267257412,-0.001301261933685867,0.0,932,924
0.0,1.0451998837033898,1.166117712816117,-0.0016332180851766345,28.97427713259816,569,714
0.0,1.0517935567444567,1.1335786335859268,-0.001418746725389145,1.419921301605001,117,799
0.0,28.46102467904055,28.63456101143919,-0.03570394141077206,0.0,931,802
0.0,12.343579581778812,12.480093476962423,-0.018909232540852156,28.81616896483945,676,660
0.0,1.0149146554196875,1.0955976399120004,-0.0015430952674816908,36.54737090622692,27,710
0.0,20.61636612376992,20.74548647069298,-0.04340059931107318,0.0,709,478
0.0,1.0329103186202815,1.1166809859848286,-0.0035005673541844157,0.0,257,319
0.0,1.0491422544440638,1.1881340292837876,-0.0036113496330814213,0.0,694,329
0.0,1.051722903776323,1.1533216302669302,-0.00116497134370397,36.17707764789307,415,990
0.0,52.312942123856175,52.4061111153774,-0.3470603385124331,0.0,416,151
0.0,1.0050580631778416,1.1277249838125272,-0.005269742915011809,0.0,582,214
0.0,1.029782113960863,1.1112523072740146,-0.0015740117666770744,23.819923480805272,93,706
0.0,5.053580947707701,5.1593545994367105,-0.006943949662768116,0.3154956752424596,453,743
0.0,39.01629850498347,39.12117008307922,-0.04902402266050028,0.0,526,798
0.0,42.01321377280175,42.11048588495038,-0.055481536080303526,0.0,456,759
