request_id,completion_time,response_time,ttft,workload_type,utility,model_type
0,6.232571105819661,6.232571105819661,1.0100416816850193,prod,3,D
3,7.8277396574453455,4.8277396574453455,1.010038476763759,prod,3,D
4,8.034184443006525,4.0341844430065255,1.0100503616800998,prod,3,D
768,11.046906259297394,3.2191666018520486,1.010047379322815,prod,1,D
2,11.827400588935706,9.827400588935706,1.0100657387883403,prod,3,C
768,13.944337484579533,2.897431225282139,1.0100283943833777,prod,1,D
5,16.258706470781704,11.258706470781704,1.0100570414902172,prod,3,C
457,16.486776106176432,4.659375517240726,1.010069643697701,prod,1,C
389,18.095164892018307,11.862593786198646,1.010027508530766,prod,1,D
7,18.22990795837203,11.229907958372031,1.0100505842440768,prod,3,D
241,18.273933202618498,2.015226731836794,1.010028706789015,prod,1,C
78,19.253346051938134,11.219161608931609,1.0100281145246708,prod,1,D
15,19.69213980986574,4.69213980986574,1.0100557398537653,prod,3,C
14,20.54367186231689,6.5436718623168915,1.1276627706547604,prod,3,A
78,21.260695005504648,2.007348953566513,1.0100281395120554,prod,1,D
457,21.73612620684272,5.2493501006662875,1.010036690682174,prod,1,C
768,22.14610751227429,3.91619955390226,1.0100281495070078,prod,1,D
78,23.321663202754454,2.0609681972498066,1.0100279845902698,prod,1,D
768,24.766728977455525,10.822391492875992,1.0100415481466332,prod,1,D
768,24.83978454060061,2.69367702832632,1.010027912126855,prod,1,D
457,25.5314994429464,5.839359633080662,1.010038686655463,prod,1,C
389,26.794215023881293,8.699050131862986,1.0100283718947338,prod,1,D
457,27.083804516376464,5.347678309533745,1.0100303101427848,prod,1,C
21,28.28162786233495,7.28162786233495,1.0100662712759814,prod,3,C
241,29.33597108623944,11.062037883620942,1.010057633143152,prod,1,C
18,29.593787258396574,11.593787258396574,1.0100270662177344,prod,3,D
30,31.071764404130377,1.071764404130377,1.0171343172613767,prod,2,C
768,31.341740803017604,6.575011825562079,1.0100269843079133,prod,1,D
78,31.77406508078007,8.452401878025615,1.0100293516407248,prod,1,D
389,32.683615924888294,5.889400901007001,1.010035627944859,prod,1,D
768,32.69166424408695,7.85187970348634,1.0100444414783283,prod,1,D
457,33.15181669839309,7.62031725544669,1.0100476342085756,prod,1,C
25,35.780055676322846,10.780055676322846,1.012027548308204,prod,3,D
768,35.780055676322846,6.1862684179262715,1.0180842762274231,prod,1,D
27,36.327650164696664,9.327650164696664,1.0173530481451643,prod,3,D
29,36.718649004919456,7.718649004919456,1.0100447942744957,prod,3,C
457,37.38101905819308,10.297214541816619,1.0100588756143125,prod,1,C
241,37.46979602275416,8.13382493651472,1.01003023726307,prod,1,C
457,37.6920492076847,9.410421345349747,1.010037239574828,prod,1,C
389,37.80089094260126,5.117275017712963,1.0100290845639535,prod,1,D
768,38.24652757273279,1.9188774080361242,1.0180755647803679,prod,1,D
457,38.68632116724282,7.6145567631124464,1.0152378907947792,prod,1,C
457,38.93565155709773,5.783834858704637,1.010029760232193,prod,1,C
768,39.093714070693025,7.751973267675421,1.0180917187667937,prod,1,D
457,39.52153392601863,1.82948471833393,1.0100298066101985,prod,1,C
768,39.889264868157355,1.642737295424567,1.0100283918846387,prod,1,D
36,39.96270171312481,3.962701713124808,1.0126724993088771,prod,2,C
457,40.303135844578506,2.9221167863854234,1.0100553256967117,prod,1,C
241,40.88631952029839,4.167670515378937,1.010037588870155,prod,1,C
78,40.955702664751094,9.181637583971025,1.0100412365570648,prod,1,D
768,41.141282993617885,5.3612273172950395,1.018075573026202,prod,1,D
768,41.16273075305992,8.471066508972967,1.0187012720023674,prod,1,D
241,41.276921451363016,3.807125428608856,1.010052663258513,prod,1,C
457,41.87458377683351,1.5714479322550048,1.0142210461911887,prod,1,C
32,42.92962112045032,10.92962112045032,1.0100323785108074,prod,3,D
768,43.07429083001026,7.294235153687417,1.0100416371722218,prod,1,D
457,43.501670432449714,1.6270866556162034,1.0152296826833904,prod,1,C
241,43.80570064926986,2.528779197906843,1.010056094845524,prod,1,C
389,44.32299553915113,6.522104596549873,1.0100304199478103,prod,1,D
11,44.52713214997868,33.52713214997868,1.0773314049272447,prod,3,B
768,45.21763365301084,5.328368784853488,1.0180745210818927,prod,1,D
31,45.58493612647416,14.584936126474162,1.2407039540937674,prod,3,B
241,46.43066544504463,5.5443459247462386,1.010028746541586,prod,1,C
78,46.60917082341248,5.653468158661383,1.0100282394615903,prod,1,D
457,46.654306656042394,7.718655098944666,1.010050888299709,prod,1,C
768,46.83625019234552,5.673519439285599,1.0200622554888525,prod,1,D
39,47.06634114586469,8.06634114586469,1.010028289436363,prod,3,D
457,47.93674366245216,4.435073230002445,1.0152297920029554,prod,1,C
457,48.76712463966554,9.245590713646912,1.0100384870581323,prod,1,C
20,48.77328643441427,28.773286434414267,1.1674148506995259,prod,3,A
768,49.96690538736994,7.03728426691962,1.0112076042109877,prod,1,D
