time,instance,memory,max_memory,model_memory,pending_requests
2,eastus_C_2_0,0,636194767360,51000000000,0
2,eastus_C_2_1,0,636194767360,51000000000,0
2,eastus_C_2_2,0,636194767360,51000000000,0
2,eastus_C_3_0,0,636194767360,51000000000,0
2,eastus_C_3_1,0,636194767360,51000000000,0
2,eastus_C_3_2,0,636194767360,51000000000,0
2,eastus_C_4_0,0,636194767360,51000000000,0
2,eastus_C_4_1,0,636194767360,51000000000,0
2,eastus_C_4_2,0,636194767360,51000000000,0
2,eastus_C_5_0,0,636194767360,51000000000,0
2,eastus_C_5_1,0,636194767360,51000000000,0
2,eastus_C_5_2,0,636194767360,51000000000,0
2,eastus_C_6_0,0,636194767360,51000000000,0
2,eastus_C_6_1,0,636194767360,51000000000,0
2,eastus_D_0_0,0,667694767360,19500000000,0
2,eastus_D_0_1,0,667694767360,19500000000,0
2,eastus_D_0_2,0,667694767360,19500000000,0
2,eastus_D_1_0,0,667694767360,19500000000,0
2,eastus_D_1_1,0,667694767360,19500000000,0
2,eastus_D_1_2,0,667694767360,19500000000,0
2,eastus_D_2_0,0,667694767360,19500000000,0
2,eastus_D_2_1,0,667694767360,19500000000,0
2,eastus_D_2_2,0,667694767360,19500000000,0
2,eastus_D_3_0,0,667694767360,19500000000,0
2,eastus_D_3_1,0,667694767360,19500000000,0
2,eastus_D_3_2,0,667694767360,19500000000,0
2,eastus_D_4_0,0,667694767360,19500000000,0
2,eastus_D_4_1,0,667694767360,19500000000,0
2,eastus_D_4_2,0,667694767360,19500000000,0
2,eastus_D_5_0,0,667694767360,19500000000,0
2,eastus_D_5_1,0,667694767360,19500000000,0
2,eastus_D_5_2,0,667694767360,19500000000,0
2,eastus_D_6_0,0,667694767360,19500000000,0
2,eastus_D_6_1,0,667694767360,19500000000,0
4,westus_A_0_0,0,552194767360,135000000000,0
4,westus_A_0_1,0,552194767360,135000000000,0
4,westus_A_0_2,0,552194767360,135000000000,0
4,westus_A_1_0,0,552194767360,135000000000,0
4,westus_A_1_1,0,552194767360,135000000000,0
4,westus_A_1_2,0,552194767360,135000000000,0
4,westus_A_2_0,0,552194767360,135000000000,0
