application_id,response_times_mean,response_times_std,response_times_min,response_times_max,response_times_median,response_times_p50,response_times_p90,response_times_p95,response_times_p99,response_times_p999,response_times_geomean,queue_times_mean,queue_times_std,queue_times_min,queue_times_max,queue_times_median,queue_times_p50,queue_times_p90,queue_times_p95,queue_times_p99,queue_times_p999,queue_times_geomean,ttft_times_mean,ttft_times_std,ttft_times_min,ttft_times_max,ttft_times_median,ttft_times_p50,ttft_times_p90,ttft_times_p95,ttft_times_p99,ttft_times_p999,ttft_times_geomean,tbt_times_mean,tbt_times_std,tbt_times_min,tbt_times_max,tbt_times_median,tbt_times_p50,tbt_times_p90,tbt_times_p95,tbt_times_p99,tbt_times_p999,tbt_times_geomean,nth_token_overheads_mean,nth_token_overheads_std,nth_token_overheads_min,nth_token_overheads_max,nth_token_overheads_median,nth_token_overheads_p50,nth_token_overheads_p90,nth_token_overheads_p95,nth_token_overheads_p99,nth_token_overheads_p999,nth_token_overheads_geomean,prompt_sizes_mean,prompt_sizes_std,prompt_sizes_min,prompt_sizes_max,prompt_sizes_median,prompt_sizes_p50,prompt_sizes_p90,prompt_sizes_p95,prompt_sizes_p99,prompt_sizes_p999,prompt_sizes_geomean,token_sizes_mean,token_sizes_std,token_sizes_min,token_sizes_max,token_sizes_median,token_sizes_p50,token_sizes_p90,token_sizes_p95,token_sizes_p99,token_sizes_p999,token_sizes_geomean
westus_A_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9134848514150065,4.129653736039022,1.0238672148059322,10.805793500051664,3.912139345401215,3.912139345401215,9.595779794363125,10.200786647207392,10.684792129482808,10.79369336299478,2.9795513678594996,5.046609881774771,4.121465485318767,1.1764259794960026,10.927294359671691,4.041359593965694,4.041359593965694,9.719641927537806,10.323468143604746,10.806529116458302,10.915217835350354,3.1993812643683537,-0.011737231990017674,0.008155177678775634,-0.02189838549032403,-0.0012609067304351581,-0.011894817869655754,-0.011894817869655752,-0.0029070911719434427,-0.0020839989511893028,-0.001425525174585988,-0.001277368574850239,,7.9933819005671864,8.831422347055472,0.0,21.29710587368595,5.338210864291398,5.338210864291398,18.110900630155005,19.704003251920472,20.978485349332853,21.265243821250646,0.0,651.25,97.61243517093506,571,817,608.5,608.5,759.4000000000001,788.1999999999999,811.24,816.4240000000001,644.5624066723956,503.0,274.8199410523188,175,933,452.0,452.0,802.8000000000001,867.8999999999999,919.9799999999999,931.6980000000001,426.2052698859243
westus_A_1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_3,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_4,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_5,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_A_6,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_B_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0313470188578624,0.019079232382408863,1.0,1.0562813035650152,1.0404877912775987,1.0404877912775987,1.0493549456311029,1.0520318039362508,1.0554314036392622,1.05619631357244,1.0311692922905094,1.2347592378956795,0.05561698413042906,1.1256216035059197,1.3250633350859289,1.229890084407316,1.229890084407316,1.301609874891551,1.311385141189936,1.3223276963067303,1.324789771208009,1.233499307110782,-0.005272816900823694,0.00734291675973442,-0.027363389178673102,-0.0011035505916724704,-0.002467948473734692,-0.002467948473734692,-0.0013016180934155035,-0.0012669495654188787,-0.0011362303864217522,-0.0011068185711473983,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,551.3888888888889,185.53620158547344,247,859,552.5,552.5,776.8,792.6999999999999,845.7399999999999,857.6740000000001,517.5859844480967,542.3888888888889,311.3403173536581,43,1020,491.0,491.0,944.1,989.4,1013.8799999999999,1019.388,407.1043685670303
westus_B_1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
westus_B_2,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
