request_id,request_type,node_id,node_type,runner,start_timestamp,completion_timestamp
20,2,0,PROMPT,a100-80gb_0,21.0,21.167414850699526
20,2,1,TOKEN,a100-80gb_0,21.167414850699526,48.77328643441427
55,2,0,PROMPT,a100-80gb_1,56.02107964071005,56.10265883216761
55,2,1,TOKEN,a100-80gb_1,56.10265883216761,59.678516705007084
22,2,0,PROMPT,a100-80gb_1,23.0,23.156946802954405
22,2,1,TOKEN,a100-80gb_1,23.156946802954405,60.099177605330354
24,2,0,PROMPT,a100-80gb_2,25.0,25.07467563534534
24,2,1,TOKEN,a100-80gb_2,25.07467563534534,60.988600000444706
127,2,0,PROMPT,a100-80gb_1,60.678516705007084,60.76460781344604
127,2,1,TOKEN,a100-80gb_1,60.76460781344604,62.15013198081153
127,2,0,PROMPT,a100-80gb_2,61.099177605330354,61.20106572818482
127,2,1,TOKEN,a100-80gb_2,61.20106572818482,80.88802147809567
127,2,0,PROMPT,a100-80gb_1,62.02659051441585,62.15013198081153
127,2,1,TOKEN,a100-80gb_1,62.15013198081153,95.90816923175413
127,2,0,PROMPT,a100-80gb_1,96.95820276624244,97.03890997254462
127,2,1,TOKEN,a100-80gb_1,97.03890997254462,106.79800414001026
54,2,0,PROMPT,a100-80gb_0,55.0,55.10579912663014
54,2,1,TOKEN,a100-80gb_0,55.10579912663014,108.26682040498366
127,2,0,PROMPT,a100-80gb_2,81.93967372890386,82.09936308675357
127,2,1,TOKEN,a100-80gb_2,82.09936308675357,111.01833936170223
127,2,0,PROMPT,a100-80gb_1,95.90816923175413,96.01171574051507
127,2,1,TOKEN,a100-80gb_1,96.01171574051507,115.38835225468576
75,2,0,PROMPT,a100-80gb_2,76.02936246458017,76.20785455629107
75,2,1,TOKEN,a100-80gb_2,76.20785455629107,128.1791320802672
102,2,0,PROMPT,a100-80gb_1,103.03373052406961,103.1167266914047
102,2,1,TOKEN,a100-80gb_1,103.1167266914047,135.24294788045268
127,2,0,PROMPT,a100-80gb_1,107.84972704378657,107.97370578306274
127,2,1,TOKEN,a100-80gb_1,115.38835225468576,135.71622318715202
127,2,0,PROMPT,a100-80gb_1,115.38835225468576,115.46922901365704
127,2,1,TOKEN,a100-80gb_1,115.46922901365704,137.71136014418363
127,2,0,PROMPT,a100-80gb_2,129.23092563701167,129.3575280135708
127,2,1,TOKEN,a100-80gb_2,129.3575280135708,138.7586021725106
129,2,0,PROMPT,a100-80gb_2,130.04123974988397,130.1853330416628
129,2,1,TOKEN,a100-80gb_2,130.1853330416628,139.66756890594706
122,2,0,PROMPT,a100-80gb_2,123.03795051998826,123.13018387364681
122,2,1,TOKEN,a100-80gb_2,123.13018387364681,151.18548200229984
104,2,0,PROMPT,a100-80gb_2,105.02692238907723,105.12829544393333
104,2,1,TOKEN,a100-80gb_2,105.12829544393333,157.75919173195263
111,2,0,PROMPT,a100-80gb_2,112.01747612028971,112.099297529846
111,2,1,TOKEN,a100-80gb_2,112.099297529846,162.86004781526776
127,2,0,PROMPT,a100-80gb_2,138.7586021725106,138.93126395914825
127,2,1,TOKEN,a100-80gb_2,139.66756890594706,176.00570095037003
127,2,0,PROMPT,a100-80gb_1,135.71622318715202,135.8183860927289
127,2,1,TOKEN,a100-80gb_1,137.71136014418363,191.50337277302208
127,2,0,PROMPT,a100-80gb_2,176.00570095037003,176.08006830813517
127,2,1,TOKEN,a100-80gb_2,176.08006830813517,194.39052475342368
127,2,0,PROMPT,a100-80gb_1,191.50337277302208,191.60731680258345
127,2,1,TOKEN,a100-80gb_1,191.60731680258345,221.84231901331864
127,2,0,PROMPT,a100-80gb_1,221.84231901331864,222.00430107974537
127,2,1,TOKEN,a100-80gb_1,222.00430107974537,248.97918131297521
253,2,0,PROMPT,a100-80gb_1,254.034106351211,254.11497099927735
253,2,1,TOKEN,a100-80gb_1,254.11497099927735,261.3192728901451
127,2,0,PROMPT,a100-80gb_1,248.97918131297521,249.0913407724125
127,2,1,TOKEN,a100-80gb_1,249.0913407724125,269.99540395931257
127,2,0,PROMPT,a100-80gb_1,269.99540395931257,270.14016012438657
127,2,1,TOKEN,a100-80gb_1,270.14016012438657,293.4868400923282
127,2,0,PROMPT,a100-80gb_1,293.4868400923282,293.63636650700755
127,2,1,TOKEN,a100-80gb_1,293.63636650700755,329.28737780940486
127,2,0,PROMPT,a100-80gb_1,329.28737780940486,329.4203408573989
127,2,1,TOKEN,a100-80gb_1,329.4203408573989,358.55110820478546
127,2,0,PROMPT,a100-80gb_1,358.55110820478546,358.67545830210315
127,2,1,TOKEN,a100-80gb_1,358.67545830210315,392.2757477154245
127,2,0,PROMPT,a100-80gb_1,392.2757477154245,392.3799567588528
127,2,1,TOKEN,a100-80gb_1,392.3799567588528,431.38400040731756
127,2,0,PROMPT,a100-80gb_1,393.3264437845802,393.41935415314225
127,2,1,TOKEN,a100-80gb_1,431.38400040731756,452.99545416142564
