request_id,model,workload_type,arrival_timestamp,completion_timestamp,global_router_queue_time,region_router_queue_time,model_endpoint_router_queue_time,application_scheduler_queue_time,service_time,application_scheduler_response_time,model_endpoint_router_response_time,region_router_response_time,global_router_response_time,queue_time
4,D,prod,4.0,0.0,1.0,0.0,0.0,0.0,3.0341844430065255,3.0341844430065255,3.0341844430065255,3.0341844430065255,0.0,1.0
78,D,prod,8.034184443006525,0.0,1.0,0.0,0.0,0.0,10.219161608931609,10.219161608931609,10.219161608931609,10.219161608931609,0.0,1.0
78,D,prod,19.253346051938134,0.0,1.0,0.0,0.0,0.0,1.0073489535665132,1.0073489535665132,1.0073489535665132,1.0073489535665132,0.0,1.0
78,D,prod,21.260695005504648,0.0,1.0,0.0,0.0,0.0,1.0609681972498066,1.0609681972498066,1.0609681972498066,1.0609681972498066,0.0,1.0
78,D,prod,23.321663202754454,0.0,1.0,0.0,0.0,0.0,7.452401878025615,7.452401878025615,7.452401878025615,7.452401878025615,0.0,1.0
78,D,prod,31.77406508078007,0.0,1.0,0.0,0.0,0.0,8.181637583971025,8.181637583971025,8.181637583971025,8.181637583971025,0.0,1.0
11,B,prod,11.0,0.0,1.0,0.0,0.0,0.0,32.52713214997868,32.52713214997868,32.52713214997868,32.52713214997868,0.0,1.0
78,D,prod,40.955702664751094,0.0,1.0,0.0,0.0,0.0,4.653468158661383,4.653468158661383,4.653468158661383,4.653468158661383,0.0,1.0
39,D,prod,39.0,0.0,1.0,0.0,0.0,0.0,7.0663411458646905,7.0663411458646905,7.0663411458646905,7.0663411458646905,0.0,1.0
35,B,prod,35.0,0.0,1.0,0.0,0.0,0.0,16.004503625881483,16.004503625881483,16.004503625881483,16.004503625881483,0.0,1.0049201278162272
1,B,prod,1.0,0.0,1.0,0.0,0.0,0.0,51.610407490410736,51.610407490410736,51.610407490410736,51.610407490410736,0.0,1.0
44,C,prod,44.0,0.0,1.0,0.0,0.0,0.0,9.220711445336235,9.220711445336235,9.220711445336235,9.220711445336235,0.0,1.0
26,A,prod,26.0,0.0,1.0,0.0,0.0,0.0,28.438574440618993,28.438574440618993,28.438574440618993,28.438574440618993,0.0,1.0
78,D,prod,47.06634114586469,0.0,1.0,0.0,0.0,0.0,8.535511903120202,8.535511903120202,8.535511903120202,8.535511903120202,0.0,1.0
78,D,prod,46.60917082341248,0.0,1.0,0.0,0.0,0.0,10.229885773508812,10.229885773508812,10.229885773508812,10.229885773508812,0.0,1.0
297,A,prod,55.43857444061899,0.0,1.0,0.0,0.0,0.0,1.7567467211323589,1.7567467211323589,1.7567467211323589,1.7567467211323589,0.0,1.0
