response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
0.0,1.0,1.0100416816850193,-0.0020697575444365147,0.0,810,488
0.0,1.0,1.010027508530766,-0.0009970656550155636,0.0,174,1013
0.0,1.0,1.0100283718947338,-0.0014067247519425263,0.0,494,718
0.0,1.0,1.010035627944859,-0.0022149904121597785,0.0,674,456
0.0,1.0,1.0100290845639535,-0.0026302840743852953,0.0,527,384
0.0,1.0,1.0100304199478103,-0.001961224116403515,0.0,557,515
0.0,1.0,1.0100278171747945,-0.001723596957636168,0.0,272,586
0.0,1.0,1.0100280920360234,-0.0018231554007870458,0.0,382,554
0.0,1.0,1.0100269646495548,-0.003366756548831849,0.0,8,300
0.0,1.0,1.0100316663060838,-0.0009941256558130746,0.0,585,1016
0.0,1.0,1.0100489372706534,-0.002387822546739133,0.0,973,423
0.0,1.0,1.0100280970334978,-0.0018364147218790869,0.0,384,550
0.0,1.0,1.010036607226354,-0.0013817190249334529,0.0,696,731
0.0,1.0,1.01002993030707,-0.012785188991228732,0.0,546,79
0.0,1.0,1.0100332242539167,-0.005206356826051117,0.0,620,194
0.0,1.0,1.0100297077430866,-0.0019461073366918817,0.0,541,519
0.0,1.0,1.0100272496957388,-0.0013503038097536614,0.0,95,748
0.0,1.0,1.0100380316358013,-0.001350318224112034,0.0,728,748
0.0,1.0,1.0100281694969198,-0.0017235975588684638,0.0,413,586
0.0,1.0,1.0100505397312816,-0.002139937584176444,0.0,1009,472
0.0,1.0,1.0100510738848243,-0.0010359498193690505,0.0,1021,975
0.0,1.0,1.0100271219164085,-0.0016750035189326841,0.0,56,603
0.0,1.0,1.0100271841678818,-0.002285129375945434,0.0,75,442
0.0,1.0,1.0100293516407248,-0.004056342777673594,0.0,533,249
0.0,1.0,1.0100476018867823,-0.0011841120772412455,0.0,943,853
0.0,1.0,1.0100270957052828,-0.0017657816358483966,0.0,48,572
0.0,1.0,1.010027824670999,-0.001532667412247343,0.0,275,659
0.0,1.0,1.0100270694941287,-0.011477580335160553,0.0,40,88
0.0,1.0013567265945085,1.0113868346089987,-0.002515887648281091,0.0,131,402
0.0,1.0,1.0100392779940819,-0.0017474727992977195,0.0,756,578
0.0,1.0,1.0100271546803299,-0.0010434164821077787,0.0,66,968
0.0,1.0,1.0100283918846458,-0.017719796348853435,0.0,502,57
0.0,1.0080446937754743,1.0181008750487877,-0.002048492706335589,0.0,1020,497
0.0,1.0003850905568754,1.0104148273560725,-0.003856545142580429,0.0,28,262
0.0,1.0080446937754743,1.0180753998636192,-0.001315342893880645,0.0,310,774
0.0,1.0080446937754743,1.0180760012987662,-0.0011702023003434094,0.0,512,870
0.0,1.008288451461567,1.0183185234357381,-0.001402642594264102,0.0,121,726
0.0,1.0080446937754743,1.0180743945343522,-0.046276108842470555,0.0,18,22
0.0,1.0078009360893816,1.017831977508223,-0.0012088265766130913,0.0,432,842
0.0,1.0080446937754743,1.0180888298863806,-0.0010170717581282523,0.0,774,1001
0.0,1.0080446937754743,1.018088976778614,-0.0065262113896065,0.0,777,156
0.0,1.0080446937754743,1.0180754081094676,-0.001841004354628332,0.0,313,553
0.0,1.0089887154006476,1.0190308439844955,-0.0016927422657549759,0.0,733,602
0.0,1.0080446937754743,1.0180753091594283,-0.0019065080695869444,0.0,277,534
0.0,1.007100672150301,1.0171419193807765,-0.0014407109339671055,0.0,715,706
0.0,1.0080446937754743,1.0180821218081348,-0.004332264348119723,0.0,637,235
0.0,1.0100290400511653,1.02006734943717,-0.009623276881482736,0.0,655,106
0.0,1.0102815117923,1.0203342166163054,-0.10203342166163054,0.0,949,10
0.0,1.0,1.0100276756267874,-0.007163316848416932,0.0,225,141
0.0,1.0084624667901494,1.0185031246808762,-0.002539908041598195,0.0,787,401
0.0,1.0073730845952866,1.0174140380413235,-0.0016570261205884748,0.0,709,614
0.0,1.0,1.0100290400511653,-0.0011285240670962742,0.0,526,895
0.0,1.0069386383267442,1.016969720974771,-0.0018625819065471996,0.0,446,546
0.0,1.004867520027915,1.0148980064657849,-0.0014708666760373695,0.0,236,690
0.0,1.008044693775446,1.0180750756963732,-0.0027221258708459177,0.0,207,374
0.0,1.0080446937754743,1.0180876547485695,-0.006284491695978825,0.0,750,162
0.0,1.0,1.0100271350219714,-0.002065495163644113,0.0,60,489
0.0,1.0100279553346354,1.0200601931753681,-0.0013784597205072542,0.0,531,740
0.0,1.009335058858511,1.0193839934487414,-0.0013701397761407815,0.0,871,744
0.0,1.0080446937754743,1.0180813873469958,-0.0018783789434446418,0.0,622,542
0.0,1.0014071913192026,1.0114377101933485,-0.0039509285554427676,0.0,245,256
0.0,1.0080401579290594,1.018077145285048,-0.001713934588021966,0.0,627,594
0.0,1.0080431979112348,1.0180738462785257,-0.002843781693515435,0.0,289,358
0.0,1.0080446937754743,1.0180860389341149,-0.0011200066434918754,0.0,717,909
0.0,1.0080401579290594,1.0180906104056078,-0.02121022105011683,0.0,902,48
0.0,1.0073500148111805,1.0173801913022942,-0.0015871765854949987,0.0,149,641
0.0,1.0101716824948994,1.0202025260136622,-0.006220747109839404,0.0,359,164
0.0,1.010218214444393,1.020256572794466,-0.0016143300202444081,0.0,656,632
0.0,1.007349113259096,1.0173838972316958,-0.0010664401438487377,0.0,582,954
0.0,1.005862246174786,1.0159186094400638,-0.0014090410671845546,0.0,1023,721
0.0,1.0080401579290594,1.0180886518426178,-0.004313934965434821,0.0,862,236
0.0,1.0073548295728472,1.017385923215329,-0.0011405671784925214,0.0,450,892
0.0,1.009497281518776,1.0195386266774165,-0.009803256025744389,0.0,716,104
