response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
0.0,1.0,1.0100289510255607,-0.001800408112345028,0.0,524,561
0.0,1.0,1.010031844357286,-0.001127267683434471,0.0,589,896
0.0,1.0019913931889732,1.0120429718392643,-0.0010050079164242941,0.0,926,1007
0.0,1.0,1.0100311766652794,-0.005906615068218008,0.0,574,171
0.0,1.0,1.010027318499965,-0.005153200604591658,0.0,116,196
0.0,1.0,1.01002796460034,-0.0011323183459645068,0.0,331,892
0.0,1.0,1.0100270957052544,-0.00307935090154041,0.0,48,328
0.0,1.0,1.0100494714241677,-0.002737261440173896,0.0,985,369
0.0,1.0,1.010027498701561,-0.0010090184802213397,0.0,171,1001
0.0,1.0,1.0100279770940688,-0.0010744978479724136,0.0,336,940
0.0,1.0,1.0100442634271758,-0.003247730750569697,0.0,868,311
0.0,1.0,1.0100328236387668,-0.0012883071730086311,0.0,611,784
0.0,1.0,1.010028157003262,-0.004089182821875555,0.0,408,247
0.0,1.0,1.0100271481275058,-0.005430253484556483,0.0,64,186
0.0,1.0,1.0100278696482974,-0.001006003854231372,0.0,293,1004
0.0,1.0,1.0100274233445816,-0.0012454098931499156,0.0,148,811
0.0,1.0,1.0100281894867749,-0.001992166054214546,0.0,421,507
0.0,1.0,1.0100363401495542,-0.006824569865875366,0.0,690,148
0.0,1.0,1.0100313992293195,-0.000991198625347713,0.0,579,1019
0.0,1.0,1.0100277051143394,-0.001156961861528453,0.0,234,873
0.0,1.0,1.0100280720461114,-0.0011425656923598547,0.0,374,884
0.0,1.0,1.0100276100989731,-0.0035944043064020394,0.0,205,281
0.0,1.0,1.0100501391161743,-0.004879469271092629,0.0,1000,207
0.0,1.0,1.0100476909124154,-0.05050238454562077,0.0,945,20
0.0,1.0,1.0100270727705265,-0.0014723426716771522,0.0,41,686
