response_times,queue_times,ttft_times,tbt_times,nth_token_overheads,prompt_sizes,token_sizes
0.0,1.0,1.0100382375614743,-0.0011967277696225999,0.0,447,844
0.0,1.0,1.0100300848782098,-0.002000059574016257,0.0,48,505
0.0,1.0,1.0100510066302988,-0.0017444749682734002,0.0,673,579
0.0,1.0,1.010030071627348,-0.005771600409299132,0.0,50,175
0.0,1.0,1.0100451492662543,-0.0012769218069105617,0.0,574,791
0.0,1.0,1.010042309332178,-0.02525105773330445,0.0,526,40
0.0,1.0,1.0100295283421872,-0.001735445924986576,0.0,132,582
0.0,1.0,1.0100654429618743,-0.001500840182707094,0.0,917,673
0.0,1.0,1.0100295747201926,-0.0025062768603478724,0.0,125,403
0.0,1.0,1.0100643779865948,-0.002919261208053742,0.0,899,346
0.0,1.0,1.010045267596837,-0.002404869684754374,0.0,576,420
0.0,1.0,1.0100647329783499,-0.001364952341862635,0.0,905,740
0.0,1.0,1.0100707678382719,-0.0035945578926628893,0.0,1007,281
0.0,1.0,1.0100659162842192,-0.006645170501869863,0.0,925,152
0.0,1.0096610592273123,1.019709226538268,-0.011330102517091866,0.0,550,90
0.0,1.0,1.0100528407543834,-0.0055497408832658425,0.0,704,182
0.0,1.0,1.0100631355154377,-0.001481030990491844,0.0,878,682
0.0,1.0,1.0100705903423943,-0.0013066889913873148,0.0,1004,773
0.0,1.0051980250477754,1.0152659121510084,-0.010152659121510083,0.0,853,100
0.0,1.0039887901336897,1.0140265151993333,-0.0029649898105243663,0.2950037682205391,367,342
0.0,4.042644231170414,4.052705887553515,-0.008772090665700248,0.0,853,462
0.0,1.0,1.0100340460175659,-0.0029971336677079106,0.0,363,337
0.0,1.0063244234491862,1.0163712240418619,-0.0012334602233517742,0.0,529,824
0.0,1.0,1.010069407036525,-0.0010654740580554063,0.0,984,948
0.0,6.765192534645678,6.77526140919457,-0.03827831304629701,0.0,975,177
0.0,1.0072724576052536,1.0173055946991099,-0.001787883294726028,0.0,41,569
0.0,1.0088963250158116,1.0189515211636149,-0.0013080250592600962,0.0,658,779
0.0,1.0,1.0100302571393485,-0.006870954130199649,0.0,22,147
0.0,1.0040337944760722,1.014078051364308,-0.003841204740016318,0.0,486,264
0.0,1.0,1.0100502374814795,-0.0046979080813092065,0.0,660,215
0.0,1.0103778675818802,1.0204204777921575,-0.001101965958738831,0.0,456,926
0.0,1.0051980250477754,1.015232566536028,-0.024761769915512877,0.0,309,41
0.0,1.0051980250477754,1.015272029842336,-0.0011169109239189616,0.36056016115844614,947,909
0.0,1.0043608144491571,1.0144268141795294,-0.0012090903625500947,1.6607619544267607,824,839
0.0,1.0,1.0100291043147394,-0.02657971327144051,0.0,196,38
0.0,1.004063344289989,1.014095563099417,-0.0032193509939664033,0.0,167,315
0.0,1.0,1.0100302372630665,-0.0027672061294878535,0.0,25,365
0.0,1.0051980250477754,1.0152441748222287,-0.0011750511282664685,7.5826894498169395,519,864
0.0,1.0,1.010030902359631,-0.0015007888593753804,0.0,300,673
0.0,1.0067561974565535,1.0168025424764693,-0.04621829738529406,0.0,521,22
0.0,1.0063415241240818,1.0164051809088335,-0.00172564546843605,3.966161772742865,788,589
0.0,1.0,1.0100467467291736,-0.0017295321005636535,0.0,601,584
0.0,1.0018938090503156,1.0119255511860246,-0.0019649039828854844,0.0,258,515
0.0,1.0072908216967562,1.017346278171857,-0.00776600212344929,0.0,661,131
0.0,1.003967023726645,1.0140269708475103,-0.0011496904431377668,0.0,731,882
0.0,1.0022099149322514,1.01226289829809,-0.003514801730201701,0.0,624,288
0.0,1.0013569064650483,1.0113889868030128,-0.0011287823513426482,0.0,186,896
0.0,1.0,1.0100298927407607,-0.011882704620479538,0.0,77,85
0.0,1.0051980250477754,1.015258232495924,-0.001346496329570191,0.0,735,754
0.0,1.0072893493064043,1.0173472138089323,-0.0031496817764982425,0.0,699,323
0.0,1.0051980250477612,1.015229931851266,-0.0012549195696554586,0.0,261,809
0.0,1.0100298927407607,1.0200923780527091,-0.0014979330074195436,0.0,770,681
0.0,1.0051980250477754,1.0152435992783921,-0.0022070513027791132,0.0,510,460
0.0,1.0,1.0100421910015882,-0.0014367598734019748,0.0,524,703
0.0,1.0105304889654576,1.0205764434944342,-0.0024415704389819,0.0,516,418
0.0,1.0079556512965837,1.018022627254311,-0.002875770133486754,3.1139286645501727,839,354
0.0,1.0051980250477754,1.0152303969045988,-0.0065078871596448646,0.0,146,156
0.0,1.002854548013289,1.0128994086834382,-0.009466349613863908,0.0,497,107
0.0,1.0,1.0100588756143054,-0.002630361655245587,0.0,806,384
0.0,1.0098930586902384,1.019933143994308,-0.07845639569186985,0.0,409,13
0.0,1.0,1.0100392355481063,-0.0012769143306550015,0.0,467,791
0.0,1.0098518372588785,1.0199162099436876,-0.0010302183938825128,0.0,799,990
0.0,1.0051980250477754,1.015276780815384,-0.0010032379257069012,2.8407770273089454,1020,1012
0.0,1.0062674765291035,1.0163008395500697,-0.003480482327226266,0.0,10,292
0.0,10.29607542913871,10.306126968256649,-0.035416243877170614,0.0,682,291
0.0,1.001620142759009,1.0116856218348005,-0.004112543178190246,0.0,816,246
0.0,1.0,1.010071477821782,-0.0013431801566779018,0.0,1019,752
0.0,3.067239631162039,3.07729053190954,-0.004778401447064503,0.2840777027308832,592,644
0.0,1.0,1.0100620113748562,-0.001005036827238663,0.0,859,1005
0.0,1.0,1.0100544382173098,-0.0016423649401907476,0.0,731,615
0.0,10.851299498819316,10.861364468458845,-0.018254394064636713,0.0,909,595
0.0,1.003084749465529,1.0131576478691215,-0.0012523580319766644,6.195079132631406,930,809
0.0,1.0100544382173098,1.0201287684209888,-0.0010615283750478551,6.643047817707071,952,961
0.0,15.981867368689308,15.991924232683658,-0.0387213661808321,0.0,772,413
0.0,1.0034410542012608,1.0134727118368687,-0.0031376864143556307,0.0,243,323
0.0,1.0021288897037834,1.0121836302788267,-0.003878098200302018,0.0,650,261
0.0,1.0082663163682923,1.018307499457677,-0.0012939104186247485,0.0,430,787
0.0,18.023199945898313,18.033255863247945,-0.02740616392590873,0.0,756,658
0.0,4.849029951160702,4.859063365197471,-0.0674869911832982,0.0,3,72
0.0,1.0030415389148573,1.0130811302155394,-0.0012727149877079641,2.6550105296820448,399,796
0.0,1.0043019573695915,1.0143340085556645,-0.0027714043949608317,0.0,190,366
0.0,4.216549702416188,4.226612057564495,-0.05031681020910113,0.0,768,84
0.0,1.0043278769077517,1.0143673584298938,-0.0014553333693398762,6.173227001652123,399,697
0.0,1.0043303210909187,1.0143625544762926,-0.0021445297134805343,0.0,165,473
0.0,3.4408116858274695,3.45087892211248,-0.004297483091049166,5.211729052484031,842,803
0.0,1.0043001993279859,1.0143347957055084,-0.0021399468263829293,0.666487059801824,309,474
0.0,2.9403102371026364,2.950385087960882,-0.007584537501184786,0.0,960,389
0.0,1.0046584935072076,1.0146911204430467,-0.0018584086455000854,0.0,110,546
0.0,4.261165540963418,4.271197665029206,-0.007723684746888257,8.751778457209468,180,553
0.0,6.677988396060471,6.68802006827201,-0.010385124329614923,0.0,242,644
0.0,1.594347370059296,1.60440308686168,-0.0016747422618597913,2.6441078484952527,666,958
0.0,6.007495596851953,6.017527793797456,-0.007503151862590343,0.010926017373805053,169,802
0.0,13.280396749631308,13.290457104377964,-0.08203985866899978,0.0,831,162
0.0,8.40496017184094,8.414991916932195,-0.013795068716282286,0.0,232,610
0.0,1.026151812708946,1.0362157298209809,-0.001295269662276226,7.735654366672037,792,800
0.0,1.0043323143047758,1.0144075556539747,-0.0010372265395234915,0.7538985187858316,966,978
0.0,8.729002703279434,8.739065306307225,-0.041417371119939456,0.0,869,211
0.0,1.0026611340770444,1.0127045676262867,-0.0034681663274872833,0.0,471,292
0.0,10.944103114113972,10.954159623116539,-0.01825693270519423,0.0,766,600
0.0,1.0,1.0100585797878523,-0.0010779707361663312,0.0,801,937
0.0,1.0008898563368973,1.010935810865874,-0.0024243065008773953,0.0,516,417
0.0,1.0,1.0100288525484586,-0.009528574080645837,0.0,234,106
0.0,1.0005598605285684,1.0106112819306645,-0.0020012104592686424,0.12018672038615819,600,505
0.0,1.0059691278135858,1.0160353227894348,-0.5080176613947174,0.0,827,2
0.0,1.0083912453042103,1.0184402586788508,-0.006881353099181424,10.161240905374314,563,148
0.0,1.0017547523515304,1.0118057832626732,-0.005215493728158109,0.0,594,194
0.0,11.146542880965342,11.156575405869575,-0.027683809940123014,0.0,125,403
0.0,1.0,1.010037339373497,-0.0017444513633393729,0.0,429,579
0.0,1.004319574243965,1.014352908113068,-0.0016307924567734212,0.0,13,622
0.0,4.915829343188335,4.925896514391525,-0.004824580327513736,0.5790814709514507,842,1021
0.0,11.733735441597418,11.743782957475418,-0.03074288732323408,0.0,614,382
0.0,1.0051980250477754,1.0152609659324696,-0.0010434336751618393,4.709134226039055,777,973
0.0,1.0061606625102115,1.0161935299491063,-0.006012979467154475,0.0,78,169
0.0,1.006146301015491,1.0162054671544922,-0.005211310087971755,0.0,718,195
0.0,1.0048566746034737,1.0149170122152782,-0.001013903109106172,5.36469656759499,736,1001
0.0,1.0,1.0100703536812148,-0.0017445083828691102,0.0,1000,579
0.0,1.0086222215294356,1.0186553659112576,-0.0024428186232883877,0.0,40,417
0.0,1.0002922197554938,1.0103239429828363,-0.0025132436392607867,0.0,235,402
0.0,1.0066501385537379,1.0166936269922644,-0.0013186687769030667,0.7866767152547709,472,771
0.0,1.004340551100512,1.0143724055113523,-0.0014307086114405533,0.0,216,709
0.0,1.0051558897841062,1.0151884875680537,-0.0015475434261708134,0.0,114,656
0.0,1.0011386467935495,1.011170734419494,-0.0014102799643228648,0.0,184,717
0.0,4.583207239730598,4.5932569447244305,-0.004588668276447982,0.0,651,1001
0.0,1.005193598389667,1.015226712757027,-0.001392629235606347,0.0,282,729
0.0,1.0034296810397336,1.0134617832416097,-0.0022774422095317073,0.0,183,445
0.0,4.4341925915839795,4.444250325922866,-0.04232619358021777,6.490082900851974,697,105
0.0,6.50014063519086,6.510208131803154,-0.04931975857426631,0.0,847,132
0.0,1.0033825488239358,1.0134341654714945,-0.004848967298906672,3.92244023719428,602,209
0.0,1.135447286113731,1.14550248226152,-0.0047334813316591735,0.0,658,242
0.0,1.0082470242099362,1.0183117873856986,-0.0028208082753066444,0.0,805,361
0.0,1.0004110711610679,1.010483188582782,-0.0027018267074405936,0.0,918,374
0.0,3.3761393685042833,3.3862168226354754,-0.0034377835762796705,0.4042644231170698,1000,985
0.0,1.0043325847708502,1.0143688278263312,-0.0024501662507882397,1.256491997987041,339,414
0.0,10.828648178984167,10.838719124318345,-0.08028680832828404,0.0,1010,135
0.0,1.0004529909941198,1.0105163223697673,-0.014034948921802324,0.0,782,72
0.0,1.0099789999675863,1.0200121953652115,-0.004000047824961613,0.0,33,255
0.0,1.010483188582782,1.0205164204202788,-0.0015945569069066856,1.8027928666770663,27,640
0.0,1.0051980250477754,1.0152306738475545,-0.002291717096721342,0.0,108,443
0.0,1.0007188578712771,1.0107516670063887,-0.0022971628795599745,0.579078920811412,85,440
0.0,1.0021600772308261,1.0121933017803713,-0.0013406533798415513,0.0,29,755
0.0,1.0088192527758224,1.0188822587423374,-0.0016250115769415269,0.0,778,627
0.0,1.010750378823957,1.0208249042731268,-0.0012313931294006355,0.0,955,829
0.0,1.0068485509651737,1.016922360514286,-0.00195938797786953,2.010387196779277,943,519
0.0,1.0090366859128608,1.0190692513875774,-0.06793795009250517,0.0,272,15
0.0,1.0004547782601207,1.0105224701179054,-0.007066590700125212,1.2892757277786586,850,143
0.0,7.9034233967003615,7.913480497355863,-0.04854896010647769,0.0,776,163
0.0,1.6433342934200823,1.6533839576129594,-0.016370138194187717,0.0,573,101
0.0,6.9845228369416645,6.994571004252634,-0.017843293378195495,0.0,550,392
0.0,4.2812280175713795,4.291296099920089,-0.03731561826017469,0.0,856,115
0.0,1.0043172452087106,1.0143802511752256,-0.005666928777515227,0.08740813899038358,777,179
0.0,1.0081419847182929,1.018189371047356,-0.003649424268986939,0.0,537,279
0.0,1.0088230914690826,1.0188559734839373,-0.0015229536225469915,0.0,76,669
0.0,1.0043027766542423,1.0143348351282953,-0.002358918221228594,0.0,189,430
0.0,1.254738605106695,1.2648025222187584,-0.0054753355940206,0.0,791,231
0.0,1.9548864450272845,1.9649227429720213,-0.01571938194377617,0.0,340,125
0.0,1.004369978921659,1.0144022706107876,-0.0029065967639277583,0.0,156,349
0.0,1.0034207197500677,1.0134539370116045,-0.002014818960261639,0.0,28,503
0.0,1.0043290602136494,1.0143615159097976,-0.0014939050307949892,0.0,271,679
0.0,1.4758397441826787,1.4858726189095819,-0.001823156587619119,0.0,77,815
0.0,1.009747507366228,1.0198172818423359,-0.00264887605673334,0.0,881,385
0.0,1.008083791243223,1.0181402890274853,-0.001888943022314444,2.5676104741543213,676,539
0.0,1.0097937524196254,1.0198604029682201,-0.006374127518551376,0.0,834,160
0.0,2.167958246793944,2.1779911798245735,-0.002438959887821471,0.1311122084856038,68,893
0.0,3.016529203271034,3.026595072837779,-0.0030115373859082376,4.2939437374323575,822,1005
0.0,1.0098127576795832,1.019845063944672,-0.010406582285149714,0.0,155,98
0.0,1.3640004354963366,1.3740325595621243,-0.0014524657077823724,3.4307842269390676,179,946
0.0,1.0051980250477754,1.0152512036590906,-0.0017969047852373285,0.0,627,565
0.0,4.841103535638524,4.851149000090629,-0.005837724428508579,10.958843686118712,508,831
0.0,1.0051980250477754,1.0152710536149812,-0.0012015042054615162,2.1524349014609925,932,845
0.0,1.0,1.010067158755362,-0.0010919644959517427,0.0,946,925
0.0,1.0037104363580056,1.0137519487829536,-0.006257728078907121,9.003077963471412,436,162
0.0,1.0051980250477754,1.015252114804582,-0.005801440656026184,0.0,641,175
0.0,9.315364519578964,9.32543061335906,-0.018285158065409923,0.0,928,510
0.0,1.0051980250477754,1.015242391714537,-0.02030484783429074,0.0,488,50
0.0,1.0051980250477754,1.0152309143505818,-0.0019047484321774518,0.0,75,533
0.0,1.0043380533382447,1.0143983258682283,-0.004226659691117618,4.556169309183929,736,240
0.0,2.3160509473647153,2.326082874655299,-0.00881091997975492,0.0,207,264
0.0,1.0051980250477754,1.0152354207778558,-0.0010743231965903235,8.052510265871888,361,945
0.0,1.0067055306246289,1.0167717256004494,-0.002100768028100102,0.0,827,484
0.0,5.46214963435574,5.4722140721223695,-0.02410666992124392,0.0,800,227
0.0,1.004299508306417,1.0143325943844843,-0.0010906802090155745,1.5951985365748556,47,930
0.0,2.4793443642454918,2.4893993000659975,-0.013033504188827212,0.0,654,191
0.0,1.0,1.0100523082667223,-0.0010402186490903423,0.0,695,971
0.0,1.0066975464065422,1.0167707702192388,-0.0010249705344952003,9.396416321098798,935,992
0.0,1.9330339936093424,1.9430871071388083,-0.01123171738230525,0.0,626,173
0.0,1.5874612093901987,1.597510483092151,-0.014656059477909641,0.0,567,109
0.0,1.6171604675324716,1.6272251656263848,-0.012143471385271528,0.0,804,134
0.0,10.448664182851019,10.458717615258365,-0.012880194107461041,0.0,714,812
0.0,1.4632250088093315,1.4732577013369337,-0.0026982741782727725,0.0,102,546
0.0,16.448968060135087,16.45902977568346,-0.017584433521029338,0.0,854,936
0.0,1.0043244475815527,1.0143655757816532,-0.001048981981159931,0.0,429,967
0.0,1.006943236305915,1.0169851878450231,-0.004842786608785825,0.0,444,210
0.0,6.938521606866686,6.9485918369155115,-0.018729358050985207,1.048902287006399,889,371
0.0,1.0051980250477754,1.0152625278962546,-0.010152625278962546,0.0,801,100
0.0,1.0108656515758412,1.0209414786614275,-0.0031126264593336205,3.1248547300398286,975,328
0.0,1.000254892016983,1.0102876501363198,-0.0010945695017728276,8.008806003913264,93,923
0.0,10.22593294837094,10.235993717274653,-0.013468412785887701,0.0,838,760
0.0,1.0051980250477754,1.0152362990060624,-0.0043949623333595774,0.0,377,231
0.0,1.595431299315635,1.6054996419916279,-0.012349997246089445,0.0,860,130
0.0,1.2010042364202036,1.2110799984239975,-0.04176137925599992,0.0,974,29
0.0,8.25519294482541,8.265224851628943,-0.020766896612133025,0.0,261,398
0.0,1.0013183073608047,1.0113591611145694,-0.0019676248270711467,0.0,424,514
0.0,3.651893462577391,3.6619479428251225,-0.004333666204526772,3.5618973496258377,647,845
0.0,1.0,1.010067809573627,-0.0013761141819804183,0.0,957,734
0.0,1.006832676532099,1.0168791517156706,-0.0010969570137170125,7.342316009044623,524,927
0.0,1.0986836900278263,1.1087432466577525,-0.011087432466577524,0.0,725,100
0.0,3.5719518298735693,3.5820035766847695,-0.012657256454716501,9.210673207774732,605,283
0.0,1.0051980250477754,1.0152311912935374,-0.004593806295445871,0.0,37,221
0.0,1.0083973748119774,1.0184294259980788,-0.006135117024084812,0.0,189,166
0.0,1.002609800516666,1.012683544983929,-0.02531708862459823,0.0,943,40
0.0,4.989107926387703,4.999164163844682,-0.013474836021144696,5.758036513045454,674,371
0.0,1.0078421372126627,1.0178754346418941,-0.005783383151374399,0.0,18,176
0.0,1.0917352766361432,1.1017901473748566,-0.0029939949656925453,0.0,653,368
0.0,1.3019389913130794,1.3120120198802852,-0.011310448447243838,0.0,931,116
0.0,9.15752326690847,9.167560333302958,-0.01261012425488715,0.0,355,727
0.0,1.00519359838961,1.0152468420827176,-0.0027968232564262196,0.2622244169712076,627,363
0.0,4.083809584538301,4.093870833295625,-0.03355631830570185,0.0,751,122
0.0,1.0092073636223517,1.01923932735275,-0.0012235766234726891,7.375071735411893,201,833
0.0,1.004306752364755,1.014356611803123,-0.004073721332542663,0.0,576,249
0.0,2.763406430099451,2.773447942524399,-0.03510693598132151,0.0,436,79
0.0,1.0100320001449177,1.0200641242107054,-0.0022079310047850766,0.0,180,462
0.0,1.005989898108055,1.0160230935056802,-0.0010528736720266116,0.2950024690925943,32,965
0.0,1.0034489365496029,1.0134822121149227,-0.002031026477184214,4.654483401238906,21,499
0.0,1.0042125576410967,1.0142512158242312,-0.004191120726546409,3.9442922719418902,383,242
0.0,1.0,1.0100320001449177,-0.001137423423586619,0.0,322,888
0.0,1.010410892255095,1.0204448299614342,-0.0022576213052244117,0.3168545038402044,297,452
0.0,1.0043316204924508,1.014367808658676,-0.0012265632510987618,0.0,339,827
0.0,1.005197832584372,1.0152345147539563,-0.0016481079784966823,0.0,348,616
0.0,1.0103827438693997,1.020415254197701,-0.004475505500867109,0.0,127,228
0.0,5.789012623497797,5.799067429154661,-0.009879160867384431,0.1420388513654416,652,587
0.0,1.0068289151088834,1.0168616586522603,-0.0010749066159114803,4.632631366491296,94,946
0.0,1.0057409790858287,1.0158085407799717,-0.02161294767616961,0.0,848,47
0.0,3.4970849322536424,3.5071554877116,-0.004303258267130797,1.8028008057921738,894,815
0.0,1.0,1.010029647599879,-0.003633200171222586,0.0,114,278
0.0,7.334242366122908,7.344288971470121,-0.0142331181617638,0.0,526,516
0.0,1.0063311384072335,1.016388482255195,-0.0017197774657448307,0.0,691,591
0.0,1.0043848236923054,1.0144347482124658,-0.0023701746453562286,0.0,576,428
0.0,1.0063312924943375,1.0163646700912636,-0.0020408929118298468,0.0,6,498
0.0,1.0004656064906499,1.0104974584048705,-0.001881745732597524,0.0,259,537
0.0,1.0019337746434758,1.0120024427286012,-0.0017569486852927103,3.037446206122638,865,576
0.0,1.001507115389984,1.0115394064183647,-0.001248814081997981,0.0,268,810
0.0,6.586594858810486,6.596670881141563,-0.023065282801194277,0.0,978,286
0.0,2.02337686494144,2.0334175540274373,-0.0020233010487835197,8.882006354518182,421,1005
0.0,1.0098482434749485,1.0198969965223341,-0.009025637137365788,0.0,559,113
0.0,2.675882500944624,2.685941146429059,-0.006441105866736352,6.271561591058969,711,417
0.0,6.105845243728822,6.115917165905046,-0.017625121515576502,4.851173077404496,915,347
0.0,1.004103492553611,1.0141430838542647,-0.0025164840790428402,0.0,400,403
0.0,2.194082676270682,2.204139694709511,-0.18367830789245923,0.0,685,12
0.0,1.001415363216438,1.0114472613551015,-0.027336412469056798,0.0,210,37
0.0,3.1331221622824046,3.143180937930481,-0.014158472693380544,0.0,713,222
0.0,1.5486644128455964,1.5586975572274469,-0.0023509767077337057,0.0,40,663
0.0,1.0,1.0100420726710126,-0.0013066520991863036,0.0,522,773
0.0,1.004324070180303,1.0143761424006357,-0.004334940779489896,0.0,609,234
0.0,1.007275803285097,1.0173250769870492,-0.0010903805755488201,0.0,567,933
0.0,1.0069471372189582,1.0169993396029327,-0.0010089279162727506,0.8959373701512732,612,1008
0.0,1.2665497336936937,1.2766026519777256,-0.005965432953166942,10.991621882587708,623,214
0.0,2.4238127638521973,2.433887028974027,-0.0032538596644037794,1.0270501560270873,951,748
0.0,5.16712904889215,5.177194846845794,-0.005733327626628786,0.0,923,903
0.0,11.00167480087174,11.01172635243745,-0.015708596793776675,0.0,602,701
0.0,1.0051980250477754,1.0152307003010037,-0.0019945593326149385,7.14564683023093,275,509
0.0,4.346442184514615,4.3564745053556635,-0.026726837456169716,0.0,153,163
0.0,1.0051980250477754,1.0152311038378343,-0.001233573637713043,0.0,49,823
0.0,1.0087438989538668,1.0187766643611553,-0.00117370583451746,0.0,92,868
0.0,5.118645589701657,5.128716145159615,-0.010445450397473757,0.0,894,491
0.0,1.005043397354882,1.0150793110747713,-0.0011142473228043593,9.47289877952636,334,911
0.0,1.6501917343943546,1.6602245070896515,-0.0042137677844915015,0.0,90,394
